Département;Site;Lieu dit;X(L93);Y(L93);Année fouille;N° structure;N° individu;Type de silo;Nord-Ouest/Sud-Est;Nord-Est/Sud-Ouest;Nord/Sud;Est/Ouest;Indéterminée;Remarque;Tête au Nord;Tête au Nord-Est;Tête au Nord-Ouest;Tête au Sud;Tête au Sud-Est;Tête au Sud-Ouest;Tête à l'Est;Tête à l'Ouest;Tête indéterminé;Fond;Sur le premier dôme;Sommet;Indéterminée.1;Homme;Femme;Indéterminé;Périnatal (1-6 mois);Enfant (6 mois-9 ans);Adolescent (10-19 ans);Adulte jeune (20-30 ans);Adulte mature (30-59 ans);Adulte âgé (plus de 59 ans);Indéterminé.1;"Précision 
âge";Arthrose;Tassement vetébral;Ostéoporose;Usure dentaire importante;Atteintes dentaires;Pertes dentaires;Agénésie dentaire;Parodontose;Enthésopathie;Facettes d'accroupissement;Processus de Stieda;Pathologies articulaires et périarticulaires;Scoliose;Asymétrie des os longs;Lésions traumatiques;Lésions infectieuses;Hypoplasies dentaires (stress biologique pendant l'enfance);Cribra orbitalia (stress biologique);Ostéochondrite disséquante;Spina bifida occulta;Vertèbres lombaires avec ostéophytes;Aucune;Pas de données;Remarque.1;sur le dos;sur le côté;sur le ventre;Assis;Indéterminée.2;Membres inférieurs fléchis;Membres supérieurs fléchis;Position du squelette;Espace vide;Espace colmaté;Enveloppe textile souple;Indéterminé.2;Remarques;Réinterventions;Présence de parure;Absence de parure;Bracelet;Anneau de chevile;Fibule;Bague;Torque;Agrafe de ceinture;boucle d'oreille;Dépôt de faune;Datation absolue;num datation (code labo);âge radiocarbone;14C (2 sigma);Datation relative;biblio;Unnamed: 93
68;Bergheim;Saulager;1024887.0;6797044.0;2012;351;1;Cylindrique;;;1;;;;;;;1;;;;;;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;"ne reste que la moitié du corps (tronc, membres sup; crâne)";1;;1;;;;;;;;;;;;;Ha D3-LT A1 ;PERRIN (B.), CHENAL (F.) dir. — Bergheim « Saulager » : un habitat rubané, des dépôts humains en fosse circulaire du Néolithique récent, un site d’ensilage de La Tène ancienne : rapport de fouille. Habsheim : Antéa Archéologie, 2014. 574 p.;
68;Bergheim;Saulager;1024887.0;6797044.0;2012;351;2;Cylindrique;;;1;;;;1;;;;;;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;1;;;perturbation par un terrier;;;1;;;;;;;;;;;;;Ha D3-LT A1 ;PERRIN (B.), CHENAL (F.) dir. — Bergheim « Saulager » : un habitat rubané, des dépôts humains en fosse circulaire du Néolithique récent, un site d’ensilage de La Tène ancienne : rapport de fouille. Habsheim : Antéa Archéologie, 2014. 574 p.;
68;Bergheim;Saulager;1024887.0;6797044.0;2012;643;x;Cylindrique;;;1;;;;1;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;1;1;position fœtale : membres inf particulièrement fléchis;;1;1;;;;1;;1;;;1;;;;;;;;;Ha D3-LT A1 ;PERRIN (B.), CHENAL (F.) dir. — Bergheim « Saulager » : un habitat rubané, des dépôts humains en fosse circulaire du Néolithique récent, un site d’ensilage de La Tène ancienne : rapport de fouille. Habsheim : Antéa Archéologie, 2014. 574 p.;
67;Berstett;Langenberg;1044392.0;6850994.0;2018;2026;1;Tronconique;;1;;;;déposé juste après ind.2 et avant des dépôts animaux;1;;;;;;;;;;1;;;1;;;;;;;1;;;20-59;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;sur le dos, membres inf et sup fléchis vers la gauche ;1;;;;espace de décomposition mixte, colmatage en plusieurs temps? ou ponctuel?;;1;;;;1;;;;;;1;Poz-118235;2225 ± 30 BP;380-203;LT C1;"FÉLIU (C.) dir. — Berstett, Langenberg, COS site 5.6 ; occupations du Néolithique récent, de l’âge du Bronze et du second âge du Fer : rapport de fouille préventive. Metz : Inrap GE, 2020. 432 p.";
67;Berstett;Langenberg;1044392.0;6850994.0;2018;2026;2;Tronconique;;;1;;;déposé juste avant ind.1 et avant des dépôts animaux;;;;1;;;;;;;1;;;1;;;;;;1;;;;20-39;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;squelette perturbé : bas du corps sur le ventre, reste en vrac;1;;;;espace de décomposition mixte, colmatage en plusieurs temps? que les jambes, puis le reste après dispersion. le squle est en pente;?;;1;;;;;;;;;;;;;LT C1;"FÉLIU (C.) dir. — Berstett, Langenberg, COS site 5.6 ; occupations du Néolithique récent, de l’âge du Bronze et du second âge du Fer : rapport de fouille préventive. Metz : Inrap GE, 2020. 432 p.";
67;Bischoffsheim;Bischenberg;1032025.0;6829834.0;1973;X;X;Fond de fosse;;;;1;;;;;;;;;;;1;1;;;;;;1;;;;;;;1;?;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;1;;;;1;;;;;;;;;;;;;Ha D;;
67;Blaesheim;Lotissement Entrée Est;1040545.0;6832941.0;2020;1070;X;Cylindrique;;1;;;;;;;;;;1;;;;;1;;;1;;;;;;1;;;;> 25 ans;1;;;;1;;;;;;;;;;;1;;;;;;;;appositions périostées : infections?;;;1;;;1;1;sur le ventre, face contre le sol, les membres sup fléchis sous lui, les membres inf flechis portés sur le coté G;;1;;;;;1;;1;;;;;;;;1;Poz-133830;2505 +/- 30 BP;780-540 avant J.C;Ha D1-D2;"Croutsch et al. 2022 : BLAESHEIM, Bas-Rhin, Lotissement Entrée Est, Les occupations néolithiques,
protohistoriques et gallo-romaines, rapport d'opération préventive, AA, 2022";
67;Breuschwickersheim;Vogelsgesang;1038289.0;6841523.0;2018;2047;1;Cylindrique;;;;;1;;;;;;;;;;1;;1;;;1;;;;;;;1;;;20-39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;indiqué comme un DEPOT SECONDAIRE mais je ne suis pas d'accord (Amd);?;;1;;;;;;;;;1;Poz-117697;2500 ± 30 BP;788-537 avant J.-C.;Ha C-D1;RUZZU (F.) dir. — Breuschwickersheim, Bas-Rhin, Vogelsgesang, Grand Est : A355 - Contournement Ouest de Strasbourg Tronçon 2- site 2-9 : rapport de fouille. Chaponnay : Archeodunum, 2021. 1178 p.;
67;Breuschwickersheim;Vogelsgesang;1038289.0;6841523.0;2018;2058;1;Cylindrique;;1;;;;;;1;;;;;;;;;1;;;;;1;;1;;;;;;6-10 ans;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;1;;;;;1;;;;1;;;;;;;;;1;Poz-117738;2450  ± 30 BP;754-411;Ha C-D1;RUZZU (F.) dir. — Breuschwickersheim, Bas-Rhin, Vogelsgesang, Grand Est : A355 - Contournement Ouest de Strasbourg Tronçon 2- site 2-9 : rapport de fouille. Chaponnay : Archeodunum, 2021. 1178 p.;
67;Breuschwickersheim;Vogelsgesang;1038289.0;6841523.0;2018;2066;1;Tronconique;;;1;;;;1;;;;;;;;;;1;;;;1;;;;;;1;;;<60;;;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;colmatage rapide probable;;;1;;;;;;;;;1;Poz-117739;2350  ± 30 BP;515-375;Ha D3-LTA2;RUZZU (F.) dir. — Breuschwickersheim, Bas-Rhin, Vogelsgesang, Grand Est : A355 - Contournement Ouest de Strasbourg Tronçon 2- site 2-9 : rapport de fouille. Chaponnay : Archeodunum, 2021. 1178 p.;
67;Breuschwickersheim;Vogelsgesang;1038289.0;6841523.0;2018;2103;1;Tronconique;;;;1;;;;;;;;;1;;;;;;1;;1;;;;;;;;;>40;;;;1;;;;;;;;;;;;;;1;;;;;;;;;1;;;;1;squelette sur le ventre, les bras fléchis, le bras gauche sous le thorax;1;;;;;;1;;1;;1;;;;;;;Poz-117740;2245  ± 30 BP;381-231;LT B1-C1;RUZZU (F.) dir. — Breuschwickersheim, Bas-Rhin, Vogelsgesang, Grand Est : A355 - Contournement Ouest de Strasbourg Tronçon 2- site 2-9 : rapport de fouille. Chaponnay : Archeodunum, 2021. 1178 p.;
68;Colmar;Les Aubépines;1023863.0;6782512.0;2007;153;1;Bouteille;;;1;;;;;;;;;1;;;;;1;;;;;1;;;1;;;;;10-14 ans;;;;;;;;;;;;;;;1;;;;;;;;;Probable perforation d'une vertèbre cervicale;1;;;;;;;;;1;;;;;;1;;;;;;;;;1;;;773-417 avant J.-C.;LT B;ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.;
68;Colmar;Les Aubépines;1023863.0;6782512.0;2007;153;2;Bouteille;;;1;;;;;;;;;1;;;;;1;;;;1;;;;;;;1;;≥ 50 ans;;;;1;;1;;;;;;1;;;1;1;;;;;;;;"Anciennes fractures du métacarpien et de la clavicule
Abcès de l'os alvéolaire
Pont osseux intervertébral";1;;;;;;;;;1;1;;;;1;;;;1;;;;;;1;Poz-32427;2485 ± 35 BP;773-417 avant J.-C.;LT B;ROTH-ZEHNER (M.) dir. — Colmar, Jardins des Aubépines, Alsace, Haut-Rhin (68) : rapport de fouille. Habsheim : Antéa Archéologie, 2008. 167 p.;
