Pays;Dept/Land;Commune;Lieudit;type;armement;Unnamed: 6;or;Corail;oenochoé/Olpé/Stamnoï, etc.;parure/accessoires;Chaudron;bassin;situle/ciste;présence textile;verre;Céramique;Autre;Datation;Datation globale Tum;Remarques
D;Bade-Wurtemberg;Breisach-am-Rhein;Gündlingen;tombe riche;tombe à char, tombe à épée (Bz);;;;;rasoir;;;;;;;;Hallstatt C1;;
D;Bade-Wurtemberg;Breisach-am-Rhein;Gündlingen, Zwölferbuck;tombe riche;tombe à char (Pare type 3), tombe à épée (Fer);Mors, harnachement;;;;rasoir;;;;;;2?;;Hallstatt C;;
D;Bade-Wurtemberg;Breisach-am-Rhein;Münsterberg;site fortifié de hauteur;;;;;;;;;;;;;;Hallstatt D3-LT A;Hallstatt C-LTA;
D;Bade-Wurtemberg;Hügelsheim;Heiligenbruck;tombe princière;tombe à char, tombe à poignard (à antennes?);harnachement;;;1 petit récipient à puiser (puisard à tête de taureau?);1 fibule serpentiforme;1;;1 ciste à cordons;;;;;Hallstatt D1;;
D;Bade-Wurtemberg;Ihringen;Nachtwaid, tum 1;tombe princière;;lance;torque, bracelet;;Schnabelkanne;;1;2 bassins plats;;;coupe;;;Hallstatt D3;Hallstatt D3;daté par fibule
D;Bade-Wurtemberg;Ihringen;;tombe riche;tombe à épée (Fer);;;;;;;;;;;;;Hallstatt C;;
D;Bade-Wurtemberg;Ihringen-Gündlingen;Nachtwaid;tombe princière;;;1 bracelet;;1 récipient à puiser;;1;1 bassin à attaches cruciformes;;;;;;Hallstatt D1;;
D;Bade-Wurtemberg;Ihringen-Gündlingen;Nachtwaid-Ried, tum 3;Tombe riche;;;;;;3 fibules, 2 bracelets, 2 anneaux de jambes, couteau, amulettes;;;;;;;;Hallstatt D3;Hallstatt D3;
D;Bade-Wurtemberg;Kappel am Rhein;tum 1;tombe riche;;;;;;;;;;;;;;Hallstatt D2/D3;Hallstatt D2/D3;
D;Bade-Wurtemberg;Kappel am Rhein;tum 3;tombe princière;Tombe à poignard;2 pointes de lance;;;1 coupe à pied, deux cruches (décor tête de taureau), 1 tasse;torque, 2 fibules, 2 grands couteaux;1;;1 situle type Kurd, 11 petites cistes à cordons;;;2 col en quille;;Hallstatt D1;;
D;Bade-Wurtemberg;March-Buchheim;Bürgle;tombe riche;Tombe à char;;;;;;;;;;;;;Hallstatt D1;;
D;Bade-Wurtemberg;March-Buchheim;Kleiner Hügel;tombe riche;Tombe à char (Pare type 5);mors?, ;;;;trousse de toilette;;1 bassin à bord perlé;;;;oui;;Hallstatt D1;;
D;Rhénanie-Palatinat;Bad-Dürkheim;;site fortifié de hauteur;;;;;stamnoï;;;;;;;;;Hallstatt D3-LT A;;
F;54;Bouxières-Sous-Froidemont;Le  Tremble site 7;tombe riche;;;2 boucles d'oreilles en or à barquette;;;;;;;;;;;Hallstatt D3;Hallstatt D3 - La Tène A2;"tableau M. Landolt ; Dubreucq et al. 2018 (datation proposée Ha D)"
F;54;Clayeures;La Naguée, Le Petit Fays;tombe riche;1 tombe à épée;;;;;;;;;;;;;Hallstatt C2-D1;;info S. Marion : 1 épée C2, 3 épée C2-D1 et 4 épées C2 ou C2-D1 (datation Dhennequin)
F;54;Clayeures;La Naguée, Le Petit Fays;tombe riche;1 tombe à épée;;;;;;;;;;;;;Hallstatt C2-D1;;info S. Marion : 1 épée C2, 3 épée C2-D1 et 4 épées C2 ou C2-D1 (datation Dhennequin)
F;54;Clayeures;La Naguée, Le Petit Fays;tombe riche;1 tombe à épée;;;;;;;;;;;;;Hallstatt C2 ou Hallstatt C2-D1;;info S. Marion : 1 épée C2, 3 épée C2-D1 et 4 épées C2 ou C2-D1 (datation Dhennequin)
F;54;Clayeures;La Naguée, Le Petit Fays;tombe riche;1 tombe à épée;;;;;;;;;;;;;Hallstatt C2 ou Hallstatt C2-D1;;info S. Marion : 1 épée C2, 3 épée C2-D1 et 4 épées C2 ou C2-D1 (datation Dhennequin)
F;54;Clayeures;La Naguée, Le Petit Fays;tombe riche;1 tombe à épée;;;;;;;;;;;;;Hallstatt C2 ou Hallstatt C2-D1;;info S. Marion : 1 épée C2, 3 épée C2-D1 et 4 épées C2 ou C2-D1 (datation Dhennequin)
F;54;Clayeures;La Naguée, Le Petit Fays - Tum 38, tombe centrale ;tombe riche;"1 tombe à épée ; épée en fer et poignée en os à incrustation d'ambre, variante de type Mindelheim";;;;;;;;;;;;ambre : incrustation épée;Hallstatt C2;;" CAG 54 ; info S. Marion : 1 épée C2, 3 épée C2-D1 et 4 épées C2 ou C2-D1 (datation Dhennequin)"
