SITE_AKG_ID;DATABASE_NAME;SITE_SOURCE_ID;SITE_NAME;MAIN_CITY_NAME;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;CARAC_EXP;BIBLIOGRAPHY;COMMENTS
1295024;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_99401900;"Achern-Wagshurst, Wagshurst, Oberbrunnhurst""""";Achern;;4326;8.00774;48.618576;;Non;Non renseigné;Non renseigné;-2200:-26;-2200:-26;Immobilier;Habitat;Groupé;;;Non;-- # AKTENZEICHEN : 4;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit 20 m Toleranz # DAT_GROB : -1 # DAT_FEIN : Metallzeiten # TYP_GROB : bauliche Anlagen, strukt. einheitl. Bereiche # TYP_FEIN : Siedlung # AUTRES :
1295026;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96945683;Achern, Achern;Achern;;4326;8.071355;48.620857;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/065-01;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295027;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96956986;Achern, Achern;Achern;;4326;8.084406;48.625607;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Habitat;;;;Non;-- # AKTENZEICHEN : L7314/065-02;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : benutzerdefiniert # TYP_FEIN : Ort, Stadtbild (Luftbild) # AUTRES :
1295031;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96994295;Achern, Fautenbach;Achern;;4326;8.030331;48.626175;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/021-04;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295032;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96946150;Achern, Fautenbach;Achern;;4326;8.031197;48.62237;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/021-02;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit 50 m Toleranz # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295033;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96994288;Achern, Fautenbach;Achern;;4326;8.027755;48.633842;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/018-05;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295034;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96945901;Achern, Fautenbach;Achern;;4326;8.031982;48.629166;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/018-04;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295035;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96945900;Achern, Fautenbach;Achern;;4326;8.030302;48.63401;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/018-03;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295036;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96945898;Achern, Fautenbach;Achern;;4326;8.027972;48.629242;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/018-01;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit 50 m Toleranz # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295037;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96994308;Achern, Gamshurst;Achern;;4326;8.008712;48.661213;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Paysage;Structure agraire;;;;Non;-- # AKTENZEICHEN : L7314/012-02;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Agrar allg. # TYP_FEIN : Altacker # AUTRES :
1295038;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96994294;Achern, Gamshurst;Achern;;4326;8.015598;48.628593;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/019-04;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295039;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96945891;Achern, Gamshurst;Achern;;4326;8.019709;48.644012;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/010-02;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit 50 m Toleranz # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295040;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96945903;Achern, Gamshurst;Achern;;4326;8.012832;48.630287;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Production;Charbon;;;;Non;-- # AKTENZEICHEN : L7314/019-03;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Handwerk, Industrie allg. # TYP_FEIN : Meiler # AUTRES :
1295041;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96960920;Achern, Gamshurst;Achern;;4326;8.008522;48.667454;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Production;Charbon;;;;Non;-- # AKTENZEICHEN : L7314/012-03;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Handwerk, Industrie allg. # TYP_FEIN : Meiler # AUTRES :
1295042;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96945892;Achern, Gamshurst;Achern;;4326;8.015157;48.632797;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Production;Charbon;;;;Non;-- # AKTENZEICHEN : L7314/010-03;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Handwerk, Industrie allg. # TYP_FEIN : Meiler # AUTRES :
1295044;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96994290;Achern, Großweier;Achern;;4326;8.050026;48.66632;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/040-03;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295045;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96994289;Achern, Großweier;Achern;;4326;8.05642;48.672882;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Funéraire;Non renseigné;Monument funéraire;;Non;-- # AKTENZEICHEN : L7314/040-02;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Bestattung allg. # TYP_FEIN : Grabhügel # AUTRES :
1295046;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96945682;Achern, Großweier;Achern;;4326;8.057128;48.6586;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Paysage;Formation superficielle;;;;Non;-- # AKTENZEICHEN : L7314/064-01;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Grundriss (Luftbild) # TYP_FEIN : Markierung, geologisch # AUTRES :
1295047;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96946169;Achern, Großweier;Achern;;4326;8.036482;48.652203;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Paysage;Formation superficielle;;;;Non;-- # AKTENZEICHEN : L7314/044-01;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : Grundriss (Luftbild) # TYP_FEIN : Markierung, geologisch # AUTRES :
1295048;Extrait de l'inventaire archéologique Nordbaden- ADAB-2011;BW_96994292;Achern, Großweier;Achern;;4326;8.052949;48.650543;;Oui;Non renseigné;Non renseigné;Indéterminé;Indéterminé;Immobilier;Habitat;Groupé;;;Non;-- # AKTENZEICHEN : L7314/074-01;LISTENTEXT :  # BEGRUENDUNG : -- #GENAUIGK_T : mit Ungenauigkeit bis zu 200m # DAT_GROB : -1 # DAT_FEIN : unbestimmt # TYP_GROB : -1 # TYP_FEIN : Siedlung allg. # AUTRES :
