site_id,nom_site,commune,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,source,bibliographie
AKG-25820,Kocherburg,Aalen-Unterkochen,DE,OPPIDUM,10.083333,48.833332,1219265.6665751156,6882559.040150443,HALLSTATT,,-620,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,"KBdw, 282_ FBS 21, 1913, 29+  /Bittel50,N°6a/Zürn FBS NF 247"
AKG-25821,Gräbelesberg,Albstadt-Laufen,DE,OPPIDUM,8.916667,48.25,1138769.9731855332,6810852.743705366,HALLSTATT,,-620,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,"KBW 286_ FBS4,1896,21/NF2,1924,20-12,52,116,16,62,233,18-II,67,67/Bittel48n°2/LDA BL 2,61,451 +plan, führer BDW n°13 (Biel)_ Biel 1987 : 293"
AKG-25822,Schlatt,Bad Krozingen,DE,OPPIDUM,7.5833335,47.916668,1042168.3955423166,6767297.1787521895,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"KBDW 303, denkmalpflege BdW 1984, 191-192_ Habitat= FBBaWü 2, 1975,99+ /Tumuli =Wagner I,228/ BaFB III,1936,406+"
AKG-25823,Alt-Hayingen,Hayingen-Indelhausen,DE,OPPIDUM,9.433333,48.316666,1176400.6390936454,6821233.700338967,HALLSTATT,,-620,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,"KBW 349_ Rieckhoff 2001 : 357-358_ FBS NF 19, 1971, 89+ / divers_ Biel 1987 : 281 +pl 98-108"
AKG-25825,Auf dem Buigen,Herbrechtingen,DE,OPPIDUM,10.166667,48.633335,1227373.4412350724,6860965.524740546,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,"FBS 15, 1907, 33+, hertlein 1912, 7,22,25+ // deux autres sites $$: Ratberg (Ha-LT, graphitton) -FBS NF 4 1926-28 : 64 et Kuppe 478,9 Ha, FBS NF12 1938-51 : 37"
AKG-25826,Befestigungen Heubach,Heubach,DE,OPPIDUM,9.933333,48.8,1208623.0411754423,6877891.099028888,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Rieckhoff 2001 : 371-372_ Oeftiger führer arch denkmäler BDW 10_ FBS 1906, 94+_ KBdW : 367"
AKG-25827,Heuneburg,Hundersingen,DE,OPPIDUM,9.416667,48.35,1174868.4667381595,6824826.04257983,HALLSTATT,,-725,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Reickhoff 2001 : 363-366_ Kimmig+archausgr1980 : 45-49=plan et vrais pesons de tisserand(Photocop)_ arch ausgr BdW _ 2001 : 61-63, 1998 :92-95_ Biel 1987 : 280_ Heuneburgstudien XI, van den Boom :65 = A MAS entre 540 et 480_"
AKG-25828,Heunuburg Aussensiedlung,Herbrechtingen,DE,OPPIDUM,9.466666,48.333332,1178711.973793713,6823281.490214664,HALLSTATT,,-620,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Rieckhoff 2001 : 370_ AV pour récente/ArchAusgr 1982,63-66_ arch ausgr BdW 2000 : 63-67"
AKG-25829,Hohenasperg,Asperg,DE,OPPIDUM,9.133333,48.9,1149198.73873058,6884120.56145445,HALLSTATT,,-620,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Rieckhoff-Biel 2001 : 285_ KBW 390_ Arch Inf BDW 28 -1995 : 24-29_ Zürn pour les tombes, Fss-Hhs-Tals p24-29_ Härke - BAR_ Zürn Nordwürttemberg 118+"
AKG-25830,Höhensiedlung Ihringen,Ihringen,DE,OPPIDUM,7.6666665,48.05,1047507.3217784284,6782451.682661381,HALLSTATT,Ha D1,-620,-531,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"sauvetage LDA Freiburg, non-publié KBW_ Denmalpflege in BdW 3-1985 : 188 et sq._ KBdW : 403"
AKG-25831,Lange Burg,Langenenslingen,DE,OPPIDUM,9.383333,48.15,1174201.9286508956,6802470.527059988,HALLSTATT,Ha C,-725,-531,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Reickhoff 2001 : 412_ FBS NF 1952-1954, 41 / FBBaWü 2, 1975, 90_ KBdW : 418-420_ Biel 1987 : 291 + pl 108"
AKG-25832,Schlossberg,Nagold,DE,OPPIDUM,8.75,48.55,1124006.3180692382,6843197.204206063,HALLSTATT,,-620,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Kl führer BdW n° 32, 1977 / Biel 87 : 302-307 + pl 123-130_ KBdW 432 + plan"
