site_id,code_national_ea,numero_ea,identification_ea_brute,commune,adresse_ou_nom_lieu,pays,longitude,latitude,x_l93,y_l93,periode,sous_periode,type_site,confiance,source,notes_parsing
PATRIARCHE-11121,11121,67 001 0006,1121 / 67 001 0006 / ACHENHEIM /  / Breite / Age du bronze - Age du fer / fosse,ACHENHEIM,,FR,7.635260119999996,48.58213211,1041701.3985811976,6841356.648404154,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Breite; chrono_brut=Age du bronze - Age du fer; type_brut=fosse; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18662,18662,67 001 0020,8662 / 67 001 0020 / ACHENHEIM /  / Im Huhnerpfad / Age du bronze - Age du fer / fosse,ACHENHEIM,,FR,7.635260119999996,48.58213211,1041701.3985811976,6841356.648404154,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Im Huhnerpfad; chrono_brut=Age du bronze - Age du fer; type_brut=fosse; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112308,112308,67 001 0038,12308 / 67 001 0038 / ACHENHEIM /  / Kleinfeld / Age du fer - Gallo-romain / fosse,ACHENHEIM,,FR,7.635260119999996,48.58213211,1041701.3985811976,6841356.648404154,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Kleinfeld; chrono_brut=Age du fer - Gallo-romain; type_brut=fosse; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-110901,110901,67 008 0013,10901 / 67 008 0013 / ALTORF /  / Birckenwald / tumulus / Age du bronze - Age du fer,ALTORF,,FR,7.530971347459769,48.52284007875944,1034400.0,6834330.0,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Birckenwald; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112163,112163,67 008 0022,12163 / 67 008 0022 / ALTORF /  / Osterlaeng / Age du fer / épingle;,ALTORF,,FR,7.530971347459769,48.52284007875944,1034400.0,6834330.0,indéterminé,indéterminé,dépôt,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Osterlaeng; chrono_brut=Age du fer; type_brut=épingle;; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112166,112166,67 008 0025,12166 / 67 008 0025 / ALTORF /  / Vier Aecker / occupation / Age du fer - Gallo-romain,ALTORF,,FR,7.530971347459769,48.52284007875944,1034400.0,6834330.0,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Vier Aecker; chrono_brut=Age du fer - Gallo-romain; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18342,18342,67 019 0009,8342 / 67 019 0009 / BALDENHEIM /  / SCHLITTWEG / habitat / Age du fer - Gallo-romain,BALDENHEIM,,FR,7.535054,48.243902,1036480.6815609024,6803393.980374479,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=SCHLITTWEG; chrono_brut=Age du fer - Gallo-romain; type_brut=habitat; georef=ban_municipality;precision=centroïde
PATRIARCHE-18344,18344,67 019 0011,8344 / 67 019 0011 / BALDENHEIM /  / UNTEN AN DER BAUMATT / habitat / Age du fer - Gallo-romain,BALDENHEIM,,FR,7.535054,48.243902,1036480.6815609024,6803393.980374479,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=UNTEN AN DER BAUMATT; chrono_brut=Age du fer - Gallo-romain; type_brut=habitat; georef=ban_municipality;precision=centroïde
PATRIARCHE-1172,1172,67 021 0011,172 / 67 021 0011 / BARR / Localisation inconnue /  / tumulus / Age du fer,BARR,,FR,7.45969024687103,48.406320375495916,1029876.0,6821099.0,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du fer; type_brut=tumulus; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11956,11956,67 021 0012,1956 / 67 021 0012 / BARR / / / voie / Age du fer,BARR,,FR,7.45969024687103,48.406320375495916,1029876.0,6821099.0,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=voie; chrono_brut=Age du fer; georef=sites_csv_commune_mean;precision=commune
