site_id,id_site_source,nom_site,commune,lieu_dit,pays,admin1,longitude,latitude,x_l93,y_l93,epsg_source,decouverte_annee,decouverte_operation,periode,sous_periode,datation_debut,datation_fin,type_site,confiance,source,bibliographie,rapports,commentaire
ALSACE-BASEL-AF-1,1,Fossé des Pandours,Saverne,Fossé des Pandours,FR,Bas-Rhin,7.331004,48.7550876,1018241.4388156624,6859282.909911954,4326.0,1914,première mention bibliographique,,,,,habitat,MEDIUM,Alsace_Basel_AF_xlsx,Fichtl et alii 2021,,
ALSACE-BASEL-AF-2,2,Frankenbourg,Neubois,Frankenbourg,FR,Bas-Rhin,7.324984,48.295214,1020598.1891455736,6808213.90695536,4326.0,1883,première mention bibliographique,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Féliu 2021 ; Féliu 2014 ; Féliu 2015 ; Féliu 2016 ; Féliu 2017 ; Féliu 218 ; Féliu 2019 ; Féliu 2020 ; Féliu 2022,Féliu 2014 ; Féliu 2015 ; Féliu 2016 ; Féliu 2017 ; Féliu 218 ; Féliu 2019 ; Féliu 2020 ; Féliu 2021 ; Féliu 2022,
ALSACE-BASEL-AF-3,3,Rothsmatt,Hatten,Rothsmatt,FR,Bas-Rhin,8.000836,48.896084,1066406.9423486802,6877837.278141316,4326.0,2001,diagnostic,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Roth-Zehner 2005 ; Werlé 2001 ; Zehner 2001,Werlé 2001 ; Zehner 2001,
ALSACE-BASEL-AF-4,4,Lange Stein/Gaensweidt,Altorf/Dorlisheim,Lange Stein/Gaensweidt,FR,Bas-Rhin,7.530971347,48.52284007,1034400.0000219482,6834329.999025926,4326.0,1928,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Schweighaeuser 1822 ; 352 ; Gerlinger 1929 ; Dotzle ; 1997 ; 118 Flotté ; Fuchs 2000 (CAG 67) ; Altorf ; site n° 013.,,
ALSACE-BASEL-AF-5,5,Sur le ban communal,Barr,Sur le ban communal,FR,Bas-Rhin,7.459690247,48.40632037,1029876.0000440134,6821098.999390622,4326.0,19e siècle,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Linckenheld ; Schirardin 1936 ; 66 ; Lasserre ; 1995 ; n° 67000 ; Flotté ; Fuchs 2000 (CAG 67) ; Barr ; site n° 011.,,
ALSACE-BASEL-AF-6,6,entre Benfeld et Ehl,Benfeld,entre Benfeld et Ehl,FR,Bas-Rhin,7.594022961,48.36861769,1040045.0000286985,6817484.999929514,4326.0,19e siècle,découverte fortuite,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Degen ; 1968 ; 542 ; fig. 12 ; n° 2 ; Koenig ; 1985 ; vol. 2 ; 3-5 ; Flotté ; Fuchs 2000 (CAG 67) ; Benfeld,,
ALSACE-BASEL-AF-7,7,Plateforme départementale d'activités de Brumath zone 18-23,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 18-23,FR,Bas-Rhin,7.680932865,48.74979758,1043960.0000577791,6860162.999471911,4326.0,2011-2014,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Cony ; Rault 2023a ; 2023b,Cony ; Rault 2023a ; 2023b,
ALSACE-BASEL-AF-8,8,Plateforme départementale d'activités de Brumath zone 19,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 19,FR,Bas-Rhin,7.680932865,48.74979758,1043960.0000577791,6860162.999471911,4326.0,2011-2014,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Cony ; Rault 2023a ; 2023b,Cony ; Rault 2023a ; 2023b,
ALSACE-BASEL-AF-9,9,Plateforme départementale d'activités de Brumath zone 7,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 7,FR,Bas-Rhin,7.676426355,48.75378552,1043603.0000772835,6860585.999181129,4326.0,2011-2014,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Cony ; Rault 2023a ; 2023b,Cony ; Rault 2023a ; 2023b,
ALSACE-BASEL-AF-10,10,Plateforme départementale d'activités de Brumath zone 2,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 2,FR,Bas-Rhin,7.668363496,48.75306524,1043015.9999968114,6860470.999764775,4326.0,2011-2014,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Cony ; Rault 2023a ; 2023b,Cony ; Rault 2023a ; 2023b,
