info_site__dpt,unnamed_1__site,unnamed_2__n_st,remarques_generales__remarques,nmi_type_depot__type_dépôt_1,unnamed_5__nmi,unnamed_6__n_individu,unnamed_7__type_dépôt_2,monument_enclos_fossoyé__enclos_fossoye,unnamed_9__forme,unnamed_10__n_enclos,unnamed_11__diametre_côté_enclos_en_cm,unnamed_12__nombre_de_sep_dans_l_enclos,monument_tumulus_avéré__tumulus,unnamed_14__n_tumulus,unnamed_15__diametre_tumulus_en_cm,unnamed_16__nombre_de_sep_dans_le_tumulus,fosse__forme,unnamed_18__orientation_fosse,unnamed_19__longueur_surf_en_cm,unnamed_20__largeur_surf_en_cm,unnamed_21__profondeur_max_en_cm,amenagement_contenant__amenagement_contenant_perissable_rigide,unnamed_23__arguments_tapho,unnamed_24__arguments_traces_ligneuses,unnamed_25__arguments_combl_diff_int_ext_effondrements_parois,unnamed_26__type_coffrage_fosse,unnamed_27__type_contenant_voué_au_défunt,mobilier_associé_au_défunt_porté__mobilier,unnamed_29__éléments_vestimentaires,unnamed_30__armement,unnamed_31__parure,unnamed_32__port_de_vêtements,unnamed_33__arguments_objets_de_parure_et_habillement,unnamed_34__arguments_restes_textiles_minralisés_ou_organiques_identifiés,dépôts_d_offrande__outillage_usuel,unnamed_36__céramique_vaisselle,unnamed_37__armes_déposées,unnamed_38__dépôts_alimentaires,unnamed_39__localisation_des_dépôt_objets_non_portés_champs_libre,autre,reinterventions_anthropiques__recoupement_fosse_sepulcrale_recoupe_recoupé,unnamed_42__recoupe_é_quoi,unnamed_43__perturbations_dans_la_tombe,unnamed_44__laps_de_temps_reintervention_individus_décomposé,unnamed_45__laps_de_temps_reintervention_contenant_conservé,unnamed_46__traces_sur_os,modalite_depôt__position_generale,unnamed_48__position_mb_sup,unnamed_49__position_mb_inf,unnamed_50__direction_tete,bio__conservation_osseuse,unnamed_52__cat_age_ad_imm,unnamed_53__age_ans,unnamed_54__classe_démog_1,unnamed_55__classe_démog_2_si_à_cheval,unnamed_56__sexe_f_m_nd_dsp,unnamed_57__genre_mobilier,datation__datation_mob,unnamed_59__c14_calibre_2_sigma,unnamed_60__c14_non_calibré,unnamed_61__phase_chrono_relative,observations_diverses,site_key,numero_structure,_periode,_sous_periode,_ddb,_dde,_confiance,_commune,_type_site
68,Colmar rue des Aunes,172,Date dendro : 629 +/- 10 av. J.-C.,simple,1,1,primaire,,,,,,,,,quadrangulaire,NO/SE,250,75,60,oui,oui,oui,non,indéterminé,indéterminé,oui,non,non,oui,probable,oui,non,non,non,non,non,,,recoupé,St. 2 (fossé romain),non,non,non,non,sur le dos,fléchis,en extension,se,moyen,"enfants
1/15",10-14,[10-14],,indéterminé,féminin,Hallstatt D1,,,Hallstatt D1,,,2cd694e4a6ffcb25,172,Hallstatt,Ha D1,-620.0,-540.0,MEDIUM,Colmar,nécropole
67,Dingsheim COS 4-1 (2019),442,(tertre ?),simple,1,1,primaire,non,,,,,indéterminé,,,,oblongue,no/se,240,118,46,oui,oui,oui,oui,indéterminé,indéterminé,oui,probable,non,oui,probable,oui,non,non,non,non,non,,présence d'un galet entre les jambes,aucun,,non,,,,sur le dos,indéterminé,en extension,SE,moyen,indéterminé,>15,[15-19],[>20],indéterminé,indéterminé,Hallstatt D1,801-550 BC,2550 BP ± 30 ans,Hallstatt D,Référence date 14C : Poz-131729,73a0abce075ad619,442,Hallstatt,Ha D1,-620.0,-540.0,MEDIUM,Dingsheim,nécropole
67,Dingsheim COS 4-1 (2019),531,(tertre ?),simple,1,1,primaire,non,,,,,indéterminé,,,,oblongue,no/se,240,105,40,oui,oui,oui,oui,indéterminé,indéterminé,oui,probable,non,oui,probable,oui,non,non,non,non,non,,présence d'un galet contre avant bras D,aucun,,non,,,,sur le dos,en extension,en extension,SE,moyen,indéterminé,>15,[15-19],[>20],indéterminé,indéterminé,Hallstatt D1-D2,774-481 BC,2485 BP ± 30 ans,Hallstatt D,Référence date 14C : Poz-131730,73a0abce075ad619,531,Hallstatt,,,,MEDIUM,Dingsheim,nécropole
67,Dingsheim COS 4-1 (2019),532,"(tertre ?)
dans cette sep = ossements 
d'un immature en vrac dans cblt",simple,1,1,primaire,non,,,,,indéterminé,,,,oblongue,ne/so,190,50,32,oui,non,non,oui,indéterminé,indéterminé,non,non,non,non,indéterminé,non,non,non,non,non,non,,,recoupé,st. 532.2,oui,indéterminé,indéterminé,non,sur le dos,en extension,en extension,NE,mauvais,"enfants
1/15",14-16,[10-14],[15-19],indéterminé,indéterminé,Hallstatt C-D1,791-544 BC,2525 BP ± 30 ans,Hallstatt C-D1,Référence date 14C : Poz-131731 - dans cette sep = ossements d'un immature en vrac dans cblt,73a0abce075ad619,532,Hallstatt,,,,MEDIUM,Dingsheim,nécropole
67,Dingsheim COS 4-1 (2019),533,(tertre ?),simple,1,,primaire,non,,,,,indéterminé,,,,oblongue,no/se,280,120,35,oui,non,non,oui,indéterminé,indéterminé,oui,probable,non,oui,probable,oui,oui,oui,non,non,non,pince à épiler à D du crâne,,aucun,,non,,,,sur le dos,indéterminé,en extension,SE,mauvais,probable,>15,[15-19],[>20],indéterminé,féminin,Hallstatt D1,788-516 BC,2505 BP ± 35 ans,Hallstatt D,Référence date 14C : Poz-131732,73a0abce075ad619,533,Hallstatt,Ha D1,-620.0,-540.0,MEDIUM,Dingsheim,nécropole
67,Dingsheim COS 4-1 (2019),534,(tertre ?),simple,1,1,primaire,non,,,,,indéterminé,,,,oblongue,no/se,285,84,15,indéterminé,oui,non,non,indéterminé,indéterminé,non,non,non,non,indéterminé,non,non,non,non,non,non,,,aucun,,non,,,,sur le dos,fléchis,en extension,SE,moyen,"adulte
>20",>23,[>20],,masculin,indéterminé,,754-481 BC,??,Hallstatt D,Pas trouvé la référence date dans le rapport. Dates calibrées indiquées dans le rapport Vol. 2,73a0abce075ad619,534,Hallstatt,,-620.0,-450.0,MEDIUM,Dingsheim,nécropole
67,Dingsheim COS 4-1 (2019),537,(tertre ?),simple,1,1,primaire,non,,,,,indéterminé,,,,oblongue,no/se,250,100,26,oui,non,non,oui,indéterminé,indéterminé,non,indéterminé,non,non,indéterminé,non,non,non,non,non,non,,,aucun,,non,,,,sur le dos,"1 fléchi, 1 en extension",en extension,SE,moyen,"adulte
>20",20-49,[>20],,indéterminé,indéterminé,,752-410 BC,2445 BP ± 30 ans,,Référence date 14C : Poz-131734,73a0abce075ad619,537,,,,,LOW,Dingsheim,nécropole
67,Dingsheim COS 4-1 (2019),610,"Tombe ""isolée"" ?",simple,1,1,primaire,non,,,,,non,,,,oblongue,no/se,265,110,70,oui,non,non,oui,indéterminé,indéterminé,oui,non,non,oui,probable,oui,non,non,non,non,non,,,aucun,,non,,,,sur le dos,en extension,en extension,SE,mauvais,probable,>15,[15-19],[>20],indéterminé,féminin,Hallstatt D,815-593 BC,2590 BP ± 30 ans,Hallstatt D,Référence date 14C : Poz-131735,73a0abce075ad619,610,Hallstatt,,-620.0,-450.0,MEDIUM,Dingsheim,nécropole
67,Duttlenheim COS 1.3,107,recoupe enclos circulaire 96,simple,1,1,primaire,non,,,,,non,,,,oblongue,e/o,250,60,14,indéterminé,non,non,non,indéterminé,indéterminé,oui,probable,non,non,probable,oui,non,non,non,non,non,,,recoupe,enclos circulaire 96,non,,,,sur le dos,"1 fléchi, 1 en extension",en extension,N,moyen,"adulte
>20",,[>20],,homme,indéterminé,La Tène A,,,La Tène A,"Boucle en fer, contrainte tapho souple, sépulture à l’intérieur de l’enclos ST 96 (Bronze final), analyse génét",060a7856121e123e,107,La Tène,LT A,-450.0,-380.0,MEDIUM,Duttlenheim,nécropole
67,Duttlenheim COS 1.3,166,,simple,1,1,primaire,non,,,,,non,,,,oblongue,n/s,216,80,22,indéterminé,non,non,non,indéterminé,indéterminé,non,non,non,non,indéterminé,non,non,non,non,non,non,,,aucun,,non,,,,sur le ventre,"1 fléchi, 1 en extension",en extension,O,mauvais,"adulte
>20",,[>20],,indéterminé,indéterminé,,,,Hallstatt,Analyse génét,060a7856121e123e,166,Hallstatt,,,,MEDIUM,Duttlenheim,nécropole
