id;commune;lieu_dit;EA;oa;type_oa;annee_dec;type_site;type_precision;structures;conservati;datation_1;datation_2;rq;biblio;BA;BM;BF1;BF2;BF3_HaC;HaD;LTAB;LTCD
231;Gerstheim;Lotissement Bancalis;;671540017;fouille;2003-2004;habitat;;fosse à galets chauffés;;Bronze moyen/Bronze final;Bze C-D;10 fosses à galets chauffés, 1,2h fouillés;Châtelet 2003, Hardt P. 2015;;1.0;1.0;;;;;
232;Gougenheim;"LGV Est-Européenne, 2e phase, tronçon H - site 9.2. ""Ginsheimer Feld"", ""Burgweg"", ""Beim Burgweg""";;5236;fouille;2009;habitat;;Fosse;;Bronze ancien;Bze A2a/A2b;2 fosses;Thomas et al 2008, Thomas Y. 2016;1.0;;;;;;;
233;Gerstheim;Lotissement Oberfeld;;6358;diagnostic;2015;habitat;;fosse;;Bronze final;Bze D-Ha A1;-;Thomas 2015;;;1.0;;;;;
234;Gingsheim;LGV Est-Européenne, 2e phase ?Steinbrunnen, Aschenbuckel;;5250;fouille;2010;habitat;;Fosse, fosse de combustion;;Bronze final;Bze D;-;Michler, 2011;;;1.0;;;;;
236;Furdenheim;Gruen/complexe judo-basket;;6099;fouille;2013;funéraire;;crémation;;Bronze final;Ha A2-B1;6 fosses;Pierrevelcin 2015;;;;1.0;;;;
237;Furdenheim;Gruen/complexe judo-basket;;6099;fouille;2013;habitat;;Fosse;;Bronze final;Ha A2-B1;6 fosses;Pierrevelcin 2015;;;;1.0;;;;
238;Grassendorf, Bossendorf, Duntzenheim, Gougenheim, Schnersheim, Fessenheim-le-Bas, Furdenheim, Marlenheim, Dahlenheim, ergersheim, Dachstein, Altdorf;Gazoduc, canalisation Ringeldorf-Altdorf;;4954;diagnostic;2008;habitat;;fosse, fosse-silo;;Bronze moyen;-;3 st.;Schneikert 2008;;1.0;;;;;;
239;Furdenheim;Maison de la santé et du citoyen, Rue du Stade;;16954;diagnostic;2017;habitat;;fosse, fosse polylobée;;Bronze final;Ha A2-B1;3 st.;Cony 2017;;;;1.0;;;;
240;Geispolsheim;Sablière Oesch, Schwobenfeld;;671520027;découverte isolée;-;habitat;;fosse;;Bronze moyen;-;-;-;;1.0;;;;;;
241;Furdenheim;Gazoduc;;4954;diagnostic;2008;habitat;;fosse, fosse polylobée;;Bronze final;-;3 st.;Schneikert 2008;;;;;;;;
242;Geispolsheim;Schlossgarten;;671520045;fouille;2010;habitat;;fosse, fosse polylobée, fosse-silo;;Bronze final;Ha B1;18 st.;Goepfert 2012;;;;1.0;;;;
243;Geispolsheim;Sablière Rietsch;;-;découverte isolée;-;funéraire;;crémation;;Bronze final;Bze D-Ha A1;-;Beck 1980, Roscio 2018;;;1.0;;;;;
244;Haguenau;Fischereck;;-;fouille;-;funéraire;;-;;Bronze final;Bze D-Ha A1;;Roscio 2018;;;1.0;;;;;
245;Haguenau;Kirchlach;;671800005;fouille;-;funéraire;;inhumation;;Bronze ancien;-;Tum 5, tum 12, Tum 16 (hbt antérieur), Tum 22;Thévenin et al., 1979, p. 12-13, 15, 17, 22, 35 et fig. 9, n° 15 et 22, fig.21, 26-27, Voegtlin, 1991, p. 51;1.0;;;;;;;
246;Hangenbieten;Auf die Entzheimer Strasse, zone d'activité rue de la Gare;;6446;diagnostic;2016;habitat;;Fosse-silo;;Bronze moyen/Bronze final;-;-;Jodry 2016;;1.0;;;;;;
247;Haguenau;Kürzgeland;;-;fouille;-;funéraire;;inhumation;;Bronze final;Bze D;Tum 5, Tum 21, Tum 23;Schaeffer 1926;;;1.0;;;;;
248;Hessenheim;Lot. Route de Sélestat;;5367;fouille;2010;habitat;;Fosse, puits;;Bronze final;Ha A2;-;Fleischer F. 2014;;;;1.0;;;;
249;Hessenheim;Lot. Route de Sélestat;;5367;fouille;2010;habitat;;Fosse, puits, trou de poteau;;Bronze final;Bze D-Ha A1;Un bâtiment à 8 trous de poteau;Fleischer F. 2014;;;1.0;;;;;
250;Hilsenheim;-;;-;découverte isolée;-;mobilier;;point mobilier, habitat;;Bronze ancien;-;-;Nonnet et Plouin, 1995, p. 8;1.0;;;;;;;
251;Heidolsheim;Im Totem Mann;;-;découverte isolée;-;habitat;;dépôt;;Bronze ancien;-;11 MCU;Gallay M., 1970, p. 166, Bonnet et Plouin, 1995, p. 8 et fig. 4, Plouin, 2007, p. 125;1.0;;;;;;;
