site_id,id_proto,commune,lieu_dit,type_site,type_site_canon,periode,sous_periode,datation_1_brut,datation_2_brut,longitude,latitude,x_l93,y_l93,statut_fouille,confiance,source,bibliographie,structures_resume,remarques,ea,oa
PROTO-ALS-231,231,Gerstheim,Lotissement Bancalis,habitat,HABITAT,,,Bronze moyen/Bronze final,Bze C-D,,,,,fouille,LOW,BdD_Proto_Alsace_xlsx,"Châtelet 2003, Hardt P. 2015",fosse à galets chauffés,"10 fosses à galets chauffés, 1,2h fouillés",,671540017
PROTO-ALS-233,233,Gerstheim,Lotissement Oberfeld,habitat,HABITAT,HALLSTATT,,Bronze final,Bze D-Ha A1,7.694275,48.37848,1047391.775185505,6819015.698468924,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Thomas 2015,fosse,-,,6358
PROTO-ALS-234,234,Gingsheim,"LGV Est-Européenne, 2e phase ?Steinbrunnen, Aschenbuckel",habitat,HABITAT,,,Bronze final,Bze D,7.587274,48.710373,1037340.1722460678,6855383.16510573,fouille,LOW,BdD_Proto_Alsace_xlsx,"Michler, 2011","Fosse, fosse de combustion",-,,5250
PROTO-ALS-236,236,Furdenheim,Gruen/complexe judo-basket,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Ha A2-B1,7.564058,48.617119,1036233.7340500074,6844933.905752265,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Pierrevelcin 2015,crémation,6 fosses,,6099
PROTO-ALS-237,237,Furdenheim,Gruen/complexe judo-basket,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2-B1,7.564058,48.617119,1036233.7340500074,6844933.905752265,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Pierrevelcin 2015,Fosse,6 fosses,,6099
PROTO-ALS-239,239,Furdenheim,"Maison de la santé et du citoyen, Rue du Stade",habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2-B1,7.563396,48.617384,1036183.3172439942,6844960.498474641,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Cony 2017,"fosse, fosse polylobée",3 st.,,16954
PROTO-ALS-242,242,Geispolsheim,Schlossgarten,habitat,HABITAT,HALLSTATT,,Bronze final,Ha B1,7.6396408000000005,48.512731,1042477.0165491512,6833673.901984403,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Goepfert 2012,"fosse, fosse polylobée, fosse-silo",18 st.,,671520045
PROTO-ALS-243,243,Geispolsheim,Sablière Rietsch,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Bze D-Ha A1,7.682549,48.53469,1045495.9353772369,6836297.614955775,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,"Beck 1980, Roscio 2018",crémation,-,,-
PROTO-ALS-244,244,Haguenau,Fischereck,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Bze D-Ha A1,7.84954,48.858109,1055594.9516778977,6872931.08288469,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Roscio 2018,-,nan,,-
PROTO-ALS-247,247,Haguenau,Kürzgeland,funéraire,NECROPOLE,,,Bronze final,Bze D,,,,,fouille,LOW,BdD_Proto_Alsace_xlsx,Schaeffer 1926,inhumation,"Tum 5, Tum 21, Tum 23",,-
