site_id,nom_site,commune,departement,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,source,description,bibliographie
CAG68_algols-heim_a73fbe5d,Rheingraben et Muhlwasen,Algols-heim,68,FR,TUMULUS,,,,,GALLO_ROMAIN,,,,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"(004  AH,  005  AP)  -  Aux  lieux-dits  Rheingraben  et  Muhlwasen,   entre
Algolsheim et Vogelgrün, à droite de  la  route  allant  vers  Breisach,  G.
Engel en 1892 a découvert 2  tumulus.  Des  deux  tertres,  un  seul  a  été
fouillé (Muhlwasen, 004 AH) : Ch. Winckler  et  alii,  1892a,  carte et plan
(fig. 17). Les fouilles ont été conduites conjointement  par  G.  Engel,  F.
Issler, Ch. Winckler et E.A. Herrenschneider. Le tumulus (diam. :  34,50 m ;
haut. : 1,30 m) a livré, à une profondeur de 0,30 m,  deux  groupes  d’urnes
cinéraires dans le quart ouest du  tertre :  l’un  des  groupes  comptait  6
urnes, l’autre 11. Les fouilleurs ne donnent ni description, ni datation  de
ces structures. Des moellons de  roche  volcanique  du  Kaiserstuhl  étaient
enfouis à l’est de ces dernières. Vers  l’est  du  tertre  se  trouvaient  1
monnaie romaine de Constantin, 1 mur d’argile (?)  de  0,47 m  de  large,  1
fragment de meule, des fragments de céramiques grossières, des ossements  et
des restes de cuisine, 1 monnaie en argent, plusieurs morceaux  de  sigillée
et  2  crânes  humains.  Ch.  Winckler  et  ses  collègues  proposent   deux
interprétations de leur découverte : le tumulus a peut-être  été  utilisé  à
l’époque romaine, ou bien il est question d’une habitation. L’article,  très
sommaire, n’est absolument pas clair sur ce point. Les fouilleurs  n’ont,  à
l’évidence, pas réellement compris les structures  qu’ils  déterraient.  Ces
tumulus font peut-être partie de la nécropole  de  la  forêt  du  Kastenwald
dont  le   se  situe  plus  à  l’ouest  (cf.  Appenwihr,  n° 008,  Forêt  du
Kastenwald). Signalons également que  nous  nous  trouvons  à  proximité  de
Biesheim, grand site romain identifié  actuellement  à  Argentovaria.  L.-G.
Werner (1936-1937b, p. 551) indique d’importantes  découvertes  romaines  au
sud/sud-est de Volgelsheim. Il ne précise  cependant  pas  qu’il  s’agit  de
fouilles de tumulus. A.W. Naue, quant  à  lui,  reste  perplexe  devant  ces
découvertes : Ch. Winckler et alii, 1892a ; - F. Wolff, 1903, p. 145,  n° 1-
2 ; - A.W. Naue, 1905, p. 406-407 ;  - L.-G.  Werner,  1936-1937b,  p. 551 ;
- Dict. Comm., 1980, p. 66.",
CAG68_algols-heim_8c8dcfb3,"(004 AP) - Au sud-ouest de la commune, en 1978, R. Goguey a découvert un enclos circulaire : Prospection aérienne",Algols-heim,68,FR,,,,,,,,,,LOW,CAG 68 — Haut-Rhin (M. Zehner),"(004 AP) - Au sud-ouest de la commune, en 1978, R.  Goguey  a  découvert  un
enclos  circulaire :  Prospection  aérienne  R.  Goguey.  Information  Carte
Archéologique, S.R.A. Strasbourg.",
CAG68_algols-heim_3a643821,"(003 AP) - Au sud de la commune, en 1988, des alignements de fosses parallèles ont été signalés. Ces",Algols-heim,68,FR,HABITAT,,,,,PROTOHISTOIRE,,,,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"(003 AP) - Au sud  de  la  commune,  en  1988,  des  alignements  de  fosses
parallèles   ont   été   signalés.   Ces   structures   sont    probablement
protohistoriques :  Prospection  aérienne  R.  Goguey.   Information   Carte
Archéologique, S.R.A. Strasbourg.",
CAG68_algols-heim_70b4d15c,(002 AH) - L’existence d’une voie romaine est signalée par le maire de Volgelsheim dans une lettre déposée au,Algols-heim,68,FR,VOIE,,,,,GALLO_ROMAIN,,,,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"(002 AH) - L’existence d’une voie romaine  est  signalée  par  le  maire  de
Volgelsheim  dans  une  lettre  déposée  aux  archives  allemandes.  Jusqu’à
présent nous n’avons  pu  localiser  cette  route :  Messtischblatt  n° 105,
Breisach, 1886 ; - Rapport du Maire de Volgelsheim dans une lettre datée  du
07.11.1940 (Archives allemandes) ; - Enc. Als., I, p. 111-112.",
CAG68_algols-heim_6463d2ba,Härdlte,Algols-heim,68,FR,VOIE,,,,,GALLO_ROMAIN,,,,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"(001 AH) - Au lieu-dit  Härdlte,  le  maire  de  Volgelsheim  communique  la
découverte, vers 1907, d’un sarcophage  en  pierre  qui  pourrait  dater  de
l’époque romaine ou mérovingienne. Il n’existe pas de localisation  précise.
L’auteur du rapport signale que ce sarcophage aurait été découvert  le  long
d’une voie romaine : Messtischblatt, Breisach, n° 105 ; - Rapport  du  Maire
de Volgelsheim dans une lettre datée du 07.11.1940  (Archives  allemandes) ;
- Dict. Comm., 1980, p. 66 ; - Enc. Als., I, p. 111-112.",
CAG68_algols-heim_ce6a8d7a,"(007 AH) - Au sud-ouest de la commune, en 1989 J.-J. Wolf a découvert des structures quadrangulaires à angles arr",Algols-heim,68,FR,HABITAT,,,,,,,,,MEDIUM,CAG 68 — Haut-Rhin (M. Zehner),"(007 AH) - Au sud-ouest de la commune, en 1989 J.-J. Wolf  a  découvert  des
structures  quadrangulaires  à  angles  arrondis,   peut-être   superposées,
accompagnées  de  fosses :  Prospection  aérienne  J.-J.  Wolf.  Information
C.A.H.R.",
CAG68_algols-heim_e9f3e717,"(008 AH) - A l’est de l’ancienne écluse, en 1989, J.-J. Wolf a localisé un fossé rectiligne et un enclos quadrangulair",Algols-heim,68,FR,HABITAT,,,,,,,,,MEDIUM,CAG 68 — Haut-Rhin (M. Zehner),"(008 AH) - A l’est de l’ancienne écluse, en 1989, J.-J. Wolf a  localisé  un
fossé rectiligne et un enclos quadrangulaire :  Prospection  aérienne  J.-J.
Wolf. Information C.A.H.R.",
CAG68_altkirch_44694b93,"(008 AH) - Entre l’hôpital Saint-Morand et Walheim, R. Schweitzer a constaté la présence de bâtiments . La",Altkirch,68,FR,HABITAT,,,,,,,,,MEDIUM,CAG 68 — Haut-Rhin (M. Zehner),"(008 AH)  -  Entre  l’hôpital  Saint-Morand  et  Walheim,  R.  Schweitzer  a
constaté la présence  de  bâtiments  .  La  céramique  recueillie  date  cet
établissement du Bas-Empire : Gallia, 1980, p. 444.",
CAG68_ammerschwihr_6449d340,"(007 AH) - Sur le sommet du Firtisch-Sommerberg, en avril 1910, K. Gutmann a observé un . Le chercheur date l’enceinte",Ammerschwihr,68,FR,OPPIDUM,,,,,HALLSTATT,hac,-800,-450,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"(007 AH) - Sur le sommet du Firtisch-Sommerberg, en avril 1910,  K.  Gutmann
a observé un . Le chercheur date l’enceinte de  la  période  hallstattienne,
mais aucune des prospections entreprises sur le site n’a livré  de  matériel
pré- ou protohistorique. A. Riff présente cette enceinte  comme  un  ouvrage
médiéval  qui  délimite  les  deux  régions  linguistiques  (germanique   et
française ou ). R. Forrer conclut à un . A  la  fin  de  la  seconde  guerre
mondiale, le site a été presque entièrement détruit. Les  quelques  sondages
effectués par F. Litchlé n’ont  pas  permis  de  trancher  à  propos  de  la
datation et l’interprétation du site. Les sondages  ont  livré  des  tessons
indatables et un fragment de tuile romaine. D’après un  renseignement  oral,
Ch. Bonnet mentionne la découverte de monnaies romaines sur le  plateau.  La
localisation exacte de ce site a été fournie au S.R.A. par  B.  Metz.  Musée
de Kaysersberg, n° 50 (hachette romaine ?) : Ph. de  Golbéry,  1823,  p. 8 ;
- L.-G. Werner, 1911, p. 40 ; - A. Riff, 1912, p. 196 ; - K. Gutmann,  1913,
p. 196-203 ; - Aug. Scherlen, 1914, p. 7 ; - R. Forrer, 1926a, p. 29 ; - L.-
G. Werner, 1927a, p. 393 ; 1954, p. 14 ; - Courrier de B.  Metz  au  S.R.A.,
13.05.1991 ; - Ch. Bonnet, S. Plouin, 1991-1992, p. 8, fig. 1, n° 4 ;  1993,
p. 150, fig. 1, n° 4.",
CAG68_ammerzwiller_3dc887e2,"(004 AH) - Il est possible qu’une voie antique appelée Herrenweg, venant de Diefmatten et se dirigeant vers Bernwiller,",Ammerzwiller,68,FR,VOIE,,,,,,,,,MEDIUM,CAG 68 — Haut-Rhin (M. Zehner),"(004 AH) - Il est possible qu’une voie antique appelée Herrenweg, venant  de
Diefmatten et se dirigeant vers Bernwiller, passe sur  la  commune.  D’après
les auteurs, ce tronçon de voie était encore visible au siècle  dernier.  Il
n’existe  aucune  trace  archéologique  de  cette  route :  J.  Baquol,   P.
Ristelhüber,  1865,  p. 23 ;  - F.  Wolff,  1903,  p. 137,  n° 16 ;  - L.-G.
Werner, 1913a, p. 16 ; - Dict. Comm., 1980, p. 86.",
