EA_NATCODE;EA_IDENT;NUMERO;COMMUNE_PP;NUMORDRE;NUMERO_DRA;NOMUSUEL;LIEU_IGN;LIEU_CADAS;VESTIGES;NATURE_VES;CHRONO_DEB;CHRONO_FIN;CHRONO_FOU;CHRONO_DOU;CHRONO_PER;COMMENT_CH;NUMERIQUE_;X_SAISI;Y_SAISI;SURFACE;PARCELLES;INVENTEUR;ANNEE_DECO;X_DEGRE;Y_DEGRE;EMPRISE;GEOREFEREN;GEOMETRIE
0112087;12087 / 67 150 0014 / FURDENHEIM /  / 44 route de Strasbourg / Age du bronze - Age du fer ? / silo;67 150 0014;67 150;14;;;44 route de Strasbourg;;silo;S;EURBRO------;EURFER------;OUI;;;;-750.0;1035666;6844216;0.1338;;0112;1956.0;7.555808;48.610969;;OUI;POL
0112088;12088 / 67 150 0015 / FURDENHEIM /  / Holzweg / Age du fer / fosse;67 150 0015;67 150;15;;;Holzweg;;fosse;S;EURFER------;EURFER------;NON;;;;-52.0;1035479;6843476;1.0063;;0112;1963.0;7.5527;48.604422;;OUI;CER
0112092;12092 / 67 150 0019 / FURDENHEIM /  / village / Age du bronze - Age du fer / fosse;67 150 0019;67 150;19;;;village;;fosse;S;EURBRO------;EURFER------;OUI;;;;-750.0;1036026;6844252;0.0846;;0112;1936.0;7.560713;48.611099;;OUI;CER
0112184;12184 / 67 285 0023 / MATZENHEIM /  / Fliethfeld / Age du fer ? / inhumation;67 285 0023;67 285;23;;;Fliethfeld;;inhumation;S;EURFER------;EURFER------;NON;DOU;;;;1042247;6820869;0.34;;0112;1951.0;7.62638;48.397851;;OUI;CER
0112202;12202 / 67 065 0009 / BREUSCHWICKERSHEIM /  / Gelgenberg / Age du bronze - Age du fer / fosse;67 065 0009;67 065;9;;;Gelgenberg;;fosse;S;EURBRO------;EURFER------;OUI;;;;;1040078;6841291;1.09;;0112;1939.0;7.613237;48.582398;;OUI;CER
0112308;12308 / 67 001 0038 / ACHENHEIM /  / Kleinfeld / Age du fer - Gallo-romain / fosse;67 001 0038;67 001;38;;;Kleinfeld;;fosse;S;EURFER------;EURGAL------;OUI;;;;;1041199;6841294;0.43;;0112;1927.0;7.628404;48.581836;;OUI;CER
0112310;12310 / 67 097 0016 / DINGSHEIM /  / Stutzheimer Weg Auf die Hatten / habitat / Age du fer - Gallo-romain;67 097 0016;67 097;16;;;Stutzheimer Weg Auf die Hatten;;fosse;S;EURFER------;EURGAL------;OUI;;;;;1042449;6846831;0.35;;0112;1938.0;7.649747;48.630898;;OUI;CER
0112310;12310 / 67 097 0016 / DINGSHEIM /  / Stutzheimer Weg Auf die Hatten / habitat / Age du fer - Gallo-romain;67 097 0016;67 097;16;;;Stutzheimer Weg Auf die Hatten;;habitat;I;EURFER------;EURGAL------;OUI;;;;;1042449;6846831;0.35;;0112;1938.0;7.649747;48.630898;;OUI;CER
0112311;12311 / 67 097 0017 / DINGSHEIM /  / Heherzwerchen / Goldblumen / habitat / Age du bronze - Age du fer;67 097 0017;67 097;17;;;Heherzwerchen / Goldblumen;;fosse;S;EURBRO------;EURFER------;OUI;;;;;1042423;6846054;0.6;;0112;1930.0;7.648769;48.623931;;OUI;CER
0112311;12311 / 67 097 0017 / DINGSHEIM /  / Heherzwerchen / Goldblumen / habitat / Age du bronze - Age du fer;67 097 0017;67 097;17;;;Heherzwerchen / Goldblumen;;habitat;I;EURBRO------;EURFER------;OUI;;;;;1042423;6846054;0.6;;0112;1930.0;7.648769;48.623931;;OUI;CER
0112315;12315 / 67 138 0014 / FESSENHEIM-LE-BAS /  / Lehe / habitat / Age du bronze - Age du fer;67 138 0014;67 138;14;;;Lehe;;fosse;S;EURBRO------;EURFER------;OUI;;;;;1035459;6846283;0.46;;0112;1936.0;7.554623;48.629635;;OUI;CER
0112315;12315 / 67 138 0014 / FESSENHEIM-LE-BAS /  / Lehe / habitat / Age du bronze - Age du fer;67 138 0014;67 138;14;;;Lehe;;habitat;I;EURBRO------;EURFER------;OUI;;;;;1035459;6846283;0.46;;0112;1936.0;7.554623;48.629635;;OUI;CER
0112355;12355 / 67 138 0017 / FESSENHEIM-LE-BAS /  / Hohlgasse / occupation / Age du bronze - Age du fer;67 138 0017;67 138;17;;;Hohlgasse;;occupation;I;EURBRO------;EURFER------;OUI;;;;;1034524;6847144;0.31;;0112;1936.0;7.542626;48.637856;;OUI;CER
0112356;12356 / 67 138 0018 / FESSENHEIM-LE-BAS /  / In der Bremacker / habitat / Age du bronze - Age du fer;67 138 0018;67 138;18;;;In der Bremacker;;fosse;S;EURBRO------;EURFER------;OUI;;;;;1034646;6847248;0.45;;0112;1936.0;7.54436;48.638721;;OUI;CER
0112356;12356 / 67 138 0018 / FESSENHEIM-LE-BAS /  / In der Bremacker / habitat / Age du bronze - Age du fer;67 138 0018;67 138;18;;;In der Bremacker;;four;S;EURBRO------;EURFER------;OUI;;;;;1034646;6847248;0.45;;0112;1936.0;7.54436;48.638721;;OUI;CER
0112356;12356 / 67 138 0018 / FESSENHEIM-LE-BAS /  / In der Bremacker / habitat / Age du bronze - Age du fer;67 138 0018;67 138;18;;;In der Bremacker;;habitat;I;EURBRO------;EURFER------;OUI;;;;;1034646;6847248;0.45;;0112;1936.0;7.54436;48.638721;;OUI;CER
0112360;12360 / 67 554 0004 / WOLXHEIM /  / Proche chapelle Dionysius / habitat / Age du bronze - Age du fer;67 554 0004;67 554;4;;;Proche chapelle Dionysius;;fosse;S;EURBRO------;EURFER------;OUI;;;;;1032324;6839519;0.12;;0112;1949.0;7.50691;48.570514;;OUI;CER
0112360;12360 / 67 554 0004 / WOLXHEIM /  / Proche chapelle Dionysius / habitat / Age du bronze - Age du fer;67 554 0004;67 554;4;;;Proche chapelle Dionysius;;habitat;I;EURBRO------;EURFER------;OUI;;;;;1032324;6839519;0.12;;0112;1949.0;7.50691;48.570514;;OUI;CER
0112440;12440 / 67 152 0055 / GEISPOLSHEIM /  / Luetzelbruch / Age du bronze - Age du fer / fosse;67 152 0055;67 152;55;;;Luetzelbruch;;fosse;S;EURBRO------;EURFER------;OUI;;;;;1045043;6835496;1.0;;0112;1934.0;7.675787;48.527732;;OUI;CER
0112465;12465 / 67 309 0027 / MUNDOLSHEIM /  / Strengfeld / Age du bronze - Age du fer / fosse;67 309 0027;67 309;27;;;Strengfeld;;fosse;S;EURBRO------;EURFER------;OUI;;;;;1047737;6848345;0.96;;0112;1934.0;7.722608;48.641663;;OUI;CER
