site_id,ea_natcode,nom_site,commune,departement,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,geometrie_ea,surface,source,description
EAFR_0112087,0112087,44 route de Strasbourg,Furdenheim,67,FR,HABITAT,7.555808,48.610969,1035666.058,6844216.239,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,LOW,POL,0.1338,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du bronze - Age du fer ?
EAFR_0112088,0112088,Holzweg,Furdenheim,67,FR,HABITAT,7.5527,48.604422,1035479.259,6843476.403,Âge du Fer,Hallstatt – La Tène,-800.0,-25.0,HIGH,CER,1.0063,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du fer
EAFR_0112092,0112092,village,Furdenheim,67,FR,HABITAT,7.560713,48.611099,1036026.216,6844251.529,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,0.0846,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du bronze - Age du fer
EAFR_0112184,0112184,Fliethfeld,Matzenheim,67,FR,NECROPOLE,7.62638,48.397851,1042247.036,6820868.586,Âge du Fer,Hallstatt – La Tène,-800.0,-25.0,LOW,CER,0.34,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du fer ?
EAFR_0112202,0112202,Gelgenberg,Breuschwickersheim,67,FR,HABITAT,7.613237,48.582398,1040078.028,6841291.08,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,1.09,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du bronze - Age du fer
EAFR_0112308,0112308,Kleinfeld,Achenheim,67,FR,HABITAT,7.628404,48.581836,1041198.488,6841294.14,Âge du Fer – Gallo-romain,,-800.0,500.0,MEDIUM,CER,0.43,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du fer - Gallo-romain
EAFR_0112310,0112310,Stutzheimer Weg Auf die Hatten,Dingsheim,67,FR,HABITAT,7.649747,48.630898,1042449.052,6846831.397,Âge du Fer – Gallo-romain,,-800.0,500.0,MEDIUM,CER,0.35,EA-FR (Entités Archéologiques France),"Fusion multi-lignes EA_NATCODE ; vestiges distincts : fosse, habitat | EA_IDENT période : Age du fer - Gallo-romain"
EAFR_0112311,0112311,Heherzwerchen / Goldblumen,Dingsheim,67,FR,HABITAT,7.648769,48.623931,1042422.68,6846053.955,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,0.6,EA-FR (Entités Archéologiques France),"Fusion multi-lignes EA_NATCODE ; vestiges distincts : fosse, habitat | EA_IDENT période : Age du bronze - Age du fer"
EAFR_0112315,0112315,Lehe,Fessenheim-Le-Bas,67,FR,HABITAT,7.554623,48.629635,1035459.216,6846282.894,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,0.46,EA-FR (Entités Archéologiques France),"Fusion multi-lignes EA_NATCODE ; vestiges distincts : fosse, habitat | EA_IDENT période : Age du bronze - Age du fer"
EAFR_0112355,0112355,Hohlgasse,Fessenheim-Le-Bas,67,FR,HABITAT,7.542626,48.637856,1034524.033,6847144.44,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,0.31,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du bronze - Age du fer
EAFR_0112356,0112356,In der Bremacker,Fessenheim-Le-Bas,67,FR,ATELIER,7.54436,48.638721,1034646.055,6847247.794,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,0.45,EA-FR (Entités Archéologiques France),"Fusion multi-lignes EA_NATCODE ; vestiges distincts : fosse, four, habitat | EA_IDENT période : Age du bronze - Age du fer"
EAFR_0112360,0112360,Proche chapelle Dionysius,Wolxheim,67,FR,HABITAT,7.50691,48.570514,1032323.806,6839519.446,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,0.12,EA-FR (Entités Archéologiques France),"Fusion multi-lignes EA_NATCODE ; vestiges distincts : fosse, habitat | EA_IDENT période : Age du bronze - Age du fer"
EAFR_0112440,0112440,Luetzelbruch,Geispolsheim,67,FR,HABITAT,7.675787,48.527732,1045043.369,6835495.924,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,1.0,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du bronze - Age du fer
EAFR_0112465,0112465,Strengfeld,Mundolsheim,67,FR,HABITAT,7.722608,48.641663,1047737.304,6848344.504,Âge du Bronze – Âge du Fer,,-2300.0,-25.0,MEDIUM,CER,0.96,EA-FR (Entités Archéologiques France),EA_IDENT période : Age du bronze - Age du fer
