cluster_key,commune,lieu_dit,x_l93_mean,y_l93_mean,match_site_id,distance_m,status
Woippy|Zac des Chiloux,Woippy,Zac des Chiloux,929861.0,6899179.0,SITE-0a99cf4a54502507,0.0,matched
Duttlenheim|Site 1.3 - Ampfad et Neustrasse,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,1038067.0,6834890.0,,,new_site
Sainte-Croix-en-Plaine|Ancien échangeur,Sainte-Croix-en-Plaine,Ancien échangeur,1026322.0,6777079.0,SITE-3d3e5493a9a5f812,0.0,matched
Sainte-Croix-en-Plaine|Jebsen Boden,Sainte-Croix-en-Plaine,Jebsen Boden,1026322.0,6777079.0,SITE-3d3e5493a9a5f812,0.0,matched
Sainte-Croix-en-Plaine|Oberes Holzackerfeld,Sainte-Croix-en-Plaine,Oberes Holzackerfeld,1026322.0,6777079.0,SITE-3d3e5493a9a5f812,0.0,matched
Sainte-Croix-en-Plaine|Rue Mermoz,Sainte-Croix-en-Plaine,Rue Mermoz,1026322.0,6777079.0,SITE-3d3e5493a9a5f812,0.0,matched
Sainte-Croix-en-Plaine|Zone artisanale,Sainte-Croix-en-Plaine,Zone artisanale,1026322.0,6777079.0,SITE-3d3e5493a9a5f812,0.0,matched
Sainte-Croix-en-Plaine|Ancien échangeur  HE,Sainte-Croix-en-Plaine,Ancien échangeur  HE,1026322.0,6777079.0,SITE-3d3e5493a9a5f812,0.0,matched
Vandières|Les Cugnots,Vandières,Les Cugnots,921163.0,6877433.0,SITE-402d0e4840aa6ba2,0.0,matched
"Eckwersheim|Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",Eckwersheim,"Burgweg Rechts,LGV Est Européenne 2e phase - zone de stockage",1045143.0,6853715.0,,,new_site
Kolbsheim|Kurze Straenge (COS 2.2),Kolbsheim,Kurze Straenge (COS 2.2),1037364.0,6839387.0,,,new_site
Kolbsheim|Knoblochsberg (COS 2.1),Kolbsheim,Knoblochsberg (COS 2.1),1037354.0,6839078.0,,,new_site
Fameck|Rue d'Uckange,Fameck,Rue d'Uckange,926739.4719,6915264.8143,SITE-71efb333f04153a8,0.0,matched
Ittenheim|Achenheimer Berg (site COS 2.11),Ittenheim,Achenheimer Berg (site COS 2.11),1039598.0,6842391.0,,,new_site
Colmar|Rue des Aunes,Colmar,Rue des Aunes,1023790.0,6782480.0,,,new_site
Griesheim-sur-Souffel|Site COS 4.2 - Flaschen,Griesheim-sur-Souffel,Site COS 4.2 - Flaschen,1042025.0,6847261.0,,,new_site
Pfulgriesheim|Site COS 4.2bis - Kammeracker,Pfulgriesheim,Site COS 4.2bis - Kammeracker,1042403.0,6847692.0,SITE-bde33d8d6d59fbf7,0.0,matched
Marmoutier|Kurzaeckerle/Muehlmatten,Marmoutier,Kurzaeckerle/Muehlmatten,1022429.0,6852726.0,,,new_site
Ensisheim|Reguisheimer Feld/ZAID tranche 3,Ensisheim,Reguisheimer Feld/ZAID tranche 3,1026550.0,6761961.0,SITE-4632c5de79b2a41b,0.0,matched
Ensisheim|Reguisheimer Feld/ZAID tranche 4,Ensisheim,Reguisheimer Feld/ZAID tranche 4,1026550.0,6761961.0,SITE-4632c5de79b2a41b,0.0,matched
Wettolsheim|Ricoh,Wettolsheim,Ricoh,1021949.0,6781012.0,,,new_site
Nordhouse|Buerckelmatt,Nordhouse,Buerckelmatt,1045673.0,6825817.0,,,new_site
Xouaxanges|Le Champ Renard,Xouaxanges,Le Champ Renard,975005.5,6851174.0,,,new_site
Metz|ZAC Technopole site C,Metz,ZAC Technopole site C,933306.0,6894541.0,SITE-ac7c1f0694bf67e3,0.0,matched
Mondelange|Schemerten,Mondelange,Schemerten,930915.0,6911668.0,SITE-f6b081866a28095e,0.0,matched
Argancy|Le Clos des Prés,Argancy,Le Clos des Prés,933942.0,6904653.0,,,new_site
Chaillon|Les Fonzelles-Maucourt,Chaillon,Les Fonzelles-Maucourt,893559.0,6875408.0,SITE-b4ba9b95e69d7189,0.0,matched
"Diarville|Devant Giblot, Pâquis devant Giblot",Diarville,"Devant Giblot, Pâquis devant Giblot",931786.0,6815042.0,SITE-04b68c7e3c1e1c61,0.0,matched
"Diarville|Devant Giblot, Pâquis devant Giblot, Tum 2, tombe 1",Diarville,"Devant Giblot, Pâquis devant Giblot, Tum 2, tombe 1",931786.0,6815042.0,SITE-04b68c7e3c1e1c61,0.0,matched
"Diarville|Devant Giblot, Pâquis devant Giblot, Tum 3, tombe 1",Diarville,"Devant Giblot, Pâquis devant Giblot, Tum 3, tombe 1",931786.0,6815042.0,SITE-04b68c7e3c1e1c61,0.0,matched
"Diarville|Devant Giblot, Pâquis devant Giblot, Tum 7, tombe 1",Diarville,"Devant Giblot, Pâquis devant Giblot, Tum 7, tombe 1",931786.0,6815042.0,SITE-04b68c7e3c1e1c61,0.0,matched
"Diarville|Devant Giblot, Pâquis devant Giblot, Tum 7, tombe 2",Diarville,"Devant Giblot, Pâquis devant Giblot, Tum 7, tombe 2",931786.0,6815042.0,SITE-04b68c7e3c1e1c61,0.0,matched
