excel_row_index,new_site_id,slug,duplicate_of_site_id,needs_review,status,notes
0,SITE-0400248a3c367136,breisach am rhein|gundlingen|DE,,False,clean,
1,SITE-362f15b618c14209,"breisach am rhein|gundlingen, zwolferbuck|DE",,False,clean,
2,SITE-bfd513551d77b541,breisach am rhein|munsterberg|DE,,False,clean,
3,SITE-69ee9b73882adcf6,hugelsheim|heiligenbruck|DE,,False,clean,
4,SITE-b952950261c4d7fd,"ihringen|nachtwaid, tum 1|DE",,False,clean,
5,SITE-fd07c2fa69bad8ef,ihringen|ihringen|DE,,True,ambiguous_existing,"Plusieurs site_id pour le même slug: SITE-ba979b49d759bd3d, SITE-7ee7da1f31575483, SITE-fcd9f3c9c3dc9a85, SITE-ab640bd47390c1d0, SITE-4b73caf3d3994532"
6,SITE-b35ec5dabd777535,ihringen-gundlingen|nachtwaid|DE,,False,clean,
7,SITE-8f699009da96d1b3,"ihringen-gundlingen|nachtwaid-ried, tum 3|DE",,False,clean,
8,SITE-fccb1e5000f8cc38,kappel am rhein|tum 1|DE,,False,clean,
9,SITE-2659f70b6f207201,kappel am rhein|tum 3|DE,,False,clean,
10,SITE-3956f2e22202f8eb,march-buchheim|burgle|DE,,False,clean,
11,SITE-ef084c58cdaa5087,march-buchheim|kleiner hugel|DE,,False,clean,
12,SITE-3bf1c3b203d93813,bad-durkheim|bad-durkheim|DE,,False,clean,
13,SITE-fbd81bcfb8fa3df4,bouxieres-sous-froidemont|le tremble site 7|FR,,False,clean,
14,SITE-c5b9299faa729ec8,"clayeures|la naguee, le petit fays|FR",,False,clean,
15,SITE-af8fea4beace0488,"clayeures|la naguee, le petit fays|FR",,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 14)
16,SITE-861632513af4f323,"clayeures|la naguee, le petit fays|FR",,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 15)
17,SITE-f81065391005a3d0,"clayeures|la naguee, le petit fays|FR",,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 16)
18,SITE-f9657256ad3519ff,"clayeures|la naguee, le petit fays|FR",,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 17)
19,SITE-f9ffe1ca478e4273,"clayeures|la naguee, le petit fays - tum 38, tombe centrale|FR",,False,clean,
20,SITE-76f99e5516bca859,"clayeures|la naguee, le petit fays, tum 13|FR",,False,clean,
21,SITE-e74438b3c37a61e5,"diarville|devant giblot, paquis devant giblot|FR",,False,clean,
22,SITE-909a072a86022872,"diarville|devant giblot, paquis devant giblot|FR",,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 21)
23,SITE-e155185df4907002,"diarville|devant giblot, paquis devant giblot|FR",,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 22)
24,SITE-c66bb61ad58b9b80,"diarville|devant giblot, paquis devant giblot|FR",,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 23)
25,SITE-7895ae3ad9436eea,"diarville|devant giblot, paquis devant giblot|FR",,True,internal_duplicate_slug,Même slug qu’une autre ligne Excel (index précédent 24)
26,SITE-4e86e92422f13770,"diarville|devant giblot, paquis devant giblot, tum 3, tombe 1|FR",,False,clean,
27,SITE-58d9db63523dc550,"diarville|devant giblot, paquis devant giblot, tum 7, tombe 1|FR",,False,clean,
