Département,Site,Lieu dit,X(L93),Y(L93),Année fouille,N° structure,N° individu,Type de silo,Nord-Ouest/Sud-Est,Nord-Est/Sud-Ouest,Nord/Sud,Est/Ouest,Indéterminée,Remarque,Tête au Nord,Tête au Nord-Est,Tête au Nord-Ouest,Tête au Sud,Tête au Sud-Est,Tête au Sud-Ouest,Tête à l'Est,Tête à l'Ouest,Tête indéterminé,Fond,Sur le premier dôme,Sommet,Indéterminée.1,Homme,Femme,Indéterminé,Périnatal (1-6 mois),Enfant (6 mois-9 ans),Adolescent (10-19 ans),Adulte jeune (20-30 ans),Adulte mature (30-59 ans),Adulte âgé (plus de 59 ans),Indéterminé.1,Précision âge,Arthrose,Tassement vetébral,Ostéoporose,Usure dentaire importante,Atteintes dentaires,Pertes dentaires,Agénésie dentaire,Parodontose,Enthésopathie,Facettes d'accroupissement,Processus de Stieda,Pathologies articulaires et périarticulaires,Scoliose,Asymétrie des os longs,Lésions traumatiques,Lésions infectieuses,Hypoplasies dentaires (stress biologique pendant l'enfance),Cribra orbitalia (stress biologique),Ostéochondrite disséquante,Spina bifida occulta,Vertèbres lombaires avec ostéophytes,Aucune,Pas de données,Remarque.1,sur le dos,sur le côté,sur le ventre,Assis,Indéterminée.2,Membres inférieurs fléchis,Membres supérieurs fléchis,Position du squelette,Espace vide,Espace colmaté,Enveloppe textile souple,Indéterminé.2,Remarques,Réinterventions,Présence de parure,Absence de parure,Bracelet,Anneau de chevile,Fibule,Bague,Torque,Agrafe de ceinture,boucle d'oreille,Dépôt de faune,Datation absolue,num datation (code labo),âge radiocarbone,14C (2 sigma),Datation relative,biblio,notes_datation,x_l93,y_l93,has_coords,coord_flag,pays,commune,nom_site,type_site,periode_key,sous_periode,datation_debut,datation_fin,periode,longitude,latitude,lieu_dit_norm,commune_norm,agg_key,site_id_resolved
68,Bergheim,Saulager,1024887,6797044,2012,351,1,Cylindrique,,,1,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,"ne reste que la moitié du corps (tronc, membres sup; crâne)",1,,1,,,,,,,,,,,,,Ha D3-LT A1 ,"PERRIN (B.), CHENAL (F.) dir. — Bergheim « Saulager » : un habitat rubané, des dépôts humains en fosse circulaire du Néolithique récent, un site d’ensilage de La Tène ancienne : rapport de fouille. Habsheim : Antéa Archéologie, 2014. 574 p.",,1024887.0,6797044.0,True,,FR,Bergheim,Bergheim - Saulager,nécropole,TRANSITION,Ha D3 / LT A,-500.0,-400.0,Transition,7.374384646862587,48.19273904424394,saulager,bergheim,bergheim|saulager|1024900|6797050,SITE-eac791e19ec71e60
68,Bergheim,Saulager,1024887,6797044,2012,351,2,Cylindrique,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,perturbation par un terrier,,,1,,,,,,,,,,,,,Ha D3-LT A1 ,"PERRIN (B.), CHENAL (F.) dir. — Bergheim « Saulager » : un habitat rubané, des dépôts humains en fosse circulaire du Néolithique récent, un site d’ensilage de La Tène ancienne : rapport de fouille. Habsheim : Antéa Archéologie, 2014. 574 p.",,1024887.0,6797044.0,True,,FR,Bergheim,Bergheim - Saulager,nécropole,TRANSITION,Ha D3 / LT A,-500.0,-400.0,Transition,7.374384646862587,48.19273904424394,saulager,bergheim,bergheim|saulager|1024900|6797050,SITE-eac791e19ec71e60
68,Bergheim,Saulager,1024887,6797044,2012,643,x,Cylindrique,,,1,,,,1,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,1,position fœtale : membres inf particulièrement fléchis,,1,1,,,,1,,1,,,1,,,,,,,,,Ha D3-LT A1 ,"PERRIN (B.), CHENAL (F.) dir. — Bergheim « Saulager » : un habitat rubané, des dépôts humains en fosse circulaire du Néolithique récent, un site d’ensilage de La Tène ancienne : rapport de fouille. Habsheim : Antéa Archéologie, 2014. 574 p.",,1024887.0,6797044.0,True,,FR,Bergheim,Bergheim - Saulager,nécropole,TRANSITION,Ha D3 / LT A,-500.0,-400.0,Transition,7.374384646862587,48.19273904424394,saulager,bergheim,bergheim|saulager|1024900|6797050,SITE-eac791e19ec71e60
67,Berstett,Langenberg,1044392,6850994,2018,2026,1,Tronconique,,1,,,,déposé juste après ind.2 et avant des dépôts animaux,1,,,,,,,,,,1,,,1,,,,,,,1,,,20-59,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,"sur le dos, membres inf et sup fléchis vers la gauche ",1,,,,"espace de décomposition mixte, colmatage en plusieurs temps? ou ponctuel?",,1,,,,1,,,,,,1,Poz-118235,2225 ± 30 BP,380-203,LT C1,"FÉLIU (C.) dir. — Berstett, Langenberg, COS site 5.6 ; occupations du Néolithique récent, de l’âge du Bronze et du second âge du Fer : rapport de fouille préventive. Metz : Inrap GE, 2020. 432 p.",,1044392.0,6850994.0,True,,FR,Berstett,Berstett - Langenberg,nécropole,LA_TENE,LT C1,-260.0,-200.0,La Tène,7.679412187213024,48.667242798497355,langenberg,berstett,berstett|langenberg|1044400|6851000,SITE-226af4561533f102
67,Berstett,Langenberg,1044392,6850994,2018,2026,2,Tronconique,,,1,,,déposé juste avant ind.1 et avant des dépôts animaux,,,,1,,,,,,,1,,,1,,,,,,1,,,,20-39,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,"squelette perturbé : bas du corps sur le ventre, reste en vrac",1,,,,"espace de décomposition mixte, colmatage en plusieurs temps? que les jambes, puis le reste après dispersion. le squle est en pente",?,,1,,,,,,,,,,,,,LT C1,"FÉLIU (C.) dir. — Berstett, Langenberg, COS site 5.6 ; occupations du Néolithique récent, de l’âge du Bronze et du second âge du Fer : rapport de fouille préventive. Metz : Inrap GE, 2020. 432 p.",,1044392.0,6850994.0,True,,FR,Berstett,Berstett - Langenberg,nécropole,LA_TENE,LT C1,-260.0,-200.0,La Tène,7.679412187213024,48.667242798497355,langenberg,berstett,berstett|langenberg|1044400|6851000,SITE-226af4561533f102
67,Bischoffsheim,Bischenberg,1032025,6829834,1973,X,X,Fond de fosse,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,1,?,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,Ha D,,,1032025.0,6829834.0,True,,FR,Bischoffsheim,Bischoffsheim - Bischenberg,nécropole,HALLSTATT,Ha D,-620.0,-450.0,Hallstatt,7.495396534666085,48.483681076822535,bischenberg,bischoffsheim,bischoffsheim|bischenberg|1032000|6829850,SITE-e7e5cb6bf8ffc712
67,Blaesheim,Lotissement Entrée Est,1040545,6832941,2020,1070,X,Cylindrique,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,1,,,,> 25 ans,1,,,,1,,,,,,,,,,,1,,,,,,,,appositions périostées : infections?,,,1,,,1,1,"sur le ventre, face contre le sol, les membres sup fléchis sous lui, les membres inf flechis portés sur le coté G",,1,,,,,1,,1,,,,,,,,1,Poz-133830,2505 +/- 30 BP,780-540 avant J.C,Ha D1-D2,"Croutsch et al. 2022 : BLAESHEIM, Bas-Rhin, Lotissement Entrée Est, Les occupations néolithiques,
protohistoriques et gallo-romaines, rapport d'opération préventive, AA, 2022",,1040545.0,6832941.0,True,,FR,Blaesheim,Blaesheim - Lotissement Entrée Est,nécropole,HALLSTATT,Ha D1,-620.0,-500.0,Hallstatt,7.6129474887243305,48.50716693240918,lotissement entree est,blaesheim,blaesheim|lotissement entree est|1040550|6832950,SITE-355f46c130ae782a
67,Breuschwickersheim,Vogelsgesang,1038289,6841523,2018,2047,1,Cylindrique,,,,,1,,,,,,,,,,1,,1,,,1,,,,,,,1,,,20-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,indiqué comme un DEPOT SECONDAIRE mais je ne suis pas d'accord (Amd),?,,1,,,,,,,,,1,Poz-117697,2500 ± 30 BP,788-537 avant J.-C.,Ha C-D1,"RUZZU (F.) dir. — Breuschwickersheim, Bas-Rhin, Vogelsgesang, Grand Est : A355 - Contournement Ouest de Strasbourg Tronçon 2- site 2-9 : rapport de fouille. Chaponnay : Archeodunum, 2021. 1178 p.",,1038289.0,6841523.0,True,,FR,Breuschwickersheim,Breuschwickersheim - Vogelsgesang,nécropole,HALLSTATT,Ha C,-800.0,-540.0,Hallstatt,7.58920582003619,48.58541786677097,vogelsgesang,breuschwickersheim,breuschwickersheim|vogelsgesang|1038300|6841500,SITE-33b762013e0955ae
67,Breuschwickersheim,Vogelsgesang,1038289,6841523,2018,2058,1,Cylindrique,,1,,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,6-10 ans,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,,,,,1,,,,1,,,,,,,,,1,Poz-117738,2450  ± 30 BP,754-411,Ha C-D1,"RUZZU (F.) dir. — Breuschwickersheim, Bas-Rhin, Vogelsgesang, Grand Est : A355 - Contournement Ouest de Strasbourg Tronçon 2- site 2-9 : rapport de fouille. Chaponnay : Archeodunum, 2021. 1178 p.",,1038289.0,6841523.0,True,,FR,Breuschwickersheim,Breuschwickersheim - Vogelsgesang,nécropole,HALLSTATT,Ha C,-800.0,-540.0,Hallstatt,7.58920582003619,48.58541786677097,vogelsgesang,breuschwickersheim,breuschwickersheim|vogelsgesang|1038300|6841500,SITE-33b762013e0955ae
67,Breuschwickersheim,Vogelsgesang,1038289,6841523,2018,2066,1,Tronconique,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,<60,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,colmatage rapide probable,,,1,,,,,,,,,1,Poz-117739,2350  ± 30 BP,515-375,Ha D3-LTA2,"RUZZU (F.) dir. — Breuschwickersheim, Bas-Rhin, Vogelsgesang, Grand Est : A355 - Contournement Ouest de Strasbourg Tronçon 2- site 2-9 : rapport de fouille. Chaponnay : Archeodunum, 2021. 1178 p.",,1038289.0,6841523.0,True,,FR,Breuschwickersheim,Breuschwickersheim - Vogelsgesang,nécropole,TRANSITION,Ha D3 / LT A,-500.0,-400.0,Transition,7.58920582003619,48.58541786677097,vogelsgesang,breuschwickersheim,breuschwickersheim|vogelsgesang|1038300|6841500,SITE-33b762013e0955ae
