row_index,excel_row_ordinal,commune,nom_site,phase_index,action,site_id,matched_reason,coord_quality,periode,sous_periode
1,0,Altorf,Lange Stein,0,review,SITE-6e59b236e4655b97,"plusieurs candidats: SITE-916fdae7df7d7dc9,SITE-c09c59ac170854a6",ok,Hallstatt,Ha D1
1,0,Altorf,Lange Stein,1,review,SITE-6e59b236e4655b97,"plusieurs candidats: SITE-916fdae7df7d7dc9,SITE-c09c59ac170854a6",ok,Hallstatt,Ha D2
1,0,Altorf,Lange Stein,2,review,SITE-6e59b236e4655b97,"plusieurs candidats: SITE-916fdae7df7d7dc9,SITE-c09c59ac170854a6",ok,Hallstatt,Ha D3
2,1,Barr,Barr (nécropole non localisée),0,skip_duplicate,SITE-56cc98df9fd1dacb,distance<=55.0m+commune,ok,Hallstatt,Ha C
3,2,Benfeld,Benfeld (nécropole),0,new,SITE-77109510e70322c4,aucune correspondance,ok,Hallstatt,Ha D1
4,3,Bernolsheim/Mommenheim,Plateforme dép,0,skip_duplicate,SITE-460abdf3f4545943,distance<=55.0m+commune,ok,Hallstatt,Ha C
4,4,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 18-23 phase Ha C2-Ha D3./LTA,0,skip_duplicate,SITE-460abdf3f4545943,distance<=55.0m+commune,ok,Hallstatt,Ha C
4,4,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 18-23 phase Ha C2-Ha D3./LTA,1,skip_duplicate,SITE-460abdf3f4545943,distance<=55.0m+commune,ok,Hallstatt,Ha D1
4,4,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 18-23 phase Ha C2-Ha D3./LTA,2,merge,SITE-460abdf3f4545943,distance<=55.0m+commune,ok,Hallstatt,Ha D2
4,4,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 18-23 phase Ha C2-Ha D3./LTA,3,skip_duplicate,SITE-460abdf3f4545943,distance<=55.0m+commune,ok,Hallstatt,Ha D3
4,4,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 18-23 phase Ha C2-Ha D3./LTA,4,merge,SITE-460abdf3f4545943,distance<=55.0m+commune,ok,Hallstatt,Ha D3 / LT A
4,5,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 19,0,skip_duplicate,SITE-460abdf3f4545943,distance<=55.0m+commune,ok,Hallstatt,Ha C
4,5,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 19,1,skip_duplicate,SITE-460abdf3f4545943,distance<=55.0m+commune,ok,Hallstatt,Ha D1
4,6,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 7,0,new,SITE-af23527080e9645f,aucune correspondance,ok,Hallstatt,Ha D1
4,6,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 7,1,new,SITE-af23527080e9645f,aucune correspondance,ok,Hallstatt,Ha D2
4,6,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 7,2,new,SITE-af23527080e9645f,aucune correspondance,ok,Hallstatt,Ha D3
4,7,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 2,0,new,SITE-010e973c5e57984f,aucune correspondance,ok,Hallstatt,Ha D1
4,7,Bernolsheim/Mommenheim,Plateforme départementale d'activités de Brumath zone 2,1,new,SITE-010e973c5e57984f,aucune correspondance,ok,Hallstatt,Ha D2
5,8,Bischoffsheim,Langeschiesse,0,new,SITE-a84afa388390d55b,aucune correspondance,ok,Hallstatt,Ha C
5,8,Bischoffsheim,Langeschiesse,1,new,SITE-a84afa388390d55b,aucune correspondance,ok,Hallstatt,Ha D1
6,9,Brumath,groupe nord,0,skip_duplicate,SITE-b9c702ca64c6b072,distance<=55.0m+commune,ok,indéterminé,
7,10,Brumath,groupe sud (site global),0,new,SITE-535241bc660873a6,aucune correspondance,ok,indéterminé,
8,11,Brumath/Eckwersheim,"Burgweg Rechts, zone de stockage, LGV Est",0,new,SITE-f0d3c55b6298de9b,aucune correspondance,ok,Hallstatt,Ha C
8,11,Brumath/Eckwersheim,"Burgweg Rechts, zone de stockage, LGV Est",1,new,SITE-f0d3c55b6298de9b,aucune correspondance,ok,Hallstatt,Ha D1
8,12,Brumath/Eckwersheim,"Burgweg Rechts, zone de stockage, LGV Est",0,new,SITE-f0d3c55b6298de9b,aucune correspondance,ok,Hallstatt,Ha D1
