site_id,commune,lieu_dit,n_sep,type_sep,chrono,periode,sous_periode,genre,nb_ceramique_nmi,position_corps,decomposition,AC Fibule,AC Bracelet,AC Anneau de jambe,AC Torque,AC Boucle d'oreille,Fer épée/poignard,Fer lance,Fer Char,Roche noire Bracelet,Ambre Perle,Verre Perle
SITE-0a99cf4a54502507,Woippy,Zac des Chiloux,,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,7,,,,,2,,,,,1.0,,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,188,inhumation,LT A,La Tène,LT A,Féminin,1,sur le dos,espace vide,,1,,,,,,,,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,191,inhumation,Ha D-LT A ?,Transition,Ha D-LT A ?,Féminin,1,sur le dos,espace colmaté,,,,,,,,,,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,195,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,3,sur le dos,contenant rigide,,,,,,,,,2,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,198,inhumation,Ha C1,Hallstatt,Ha C1,Féminin,8,sur le dos,contenant rigide,,,,,,,,,,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,204,inhumation,Ha C-D1,Hallstatt,Ha C-D1,Féminin,2,sur le dos,espace vide,,,,,,,,,2,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,271,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,3,sur le dos,contenant rigide,,1,,,,,,,2,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,274.1,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,2,"position latérale gauche, imbriquée avec un autre squelette",espace vide,,,,,,,,,,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,400,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,8,sur le ventre,espace vide,,2,,,,,,,2,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,401,inhumation,Ha C2-D1,Hallstatt,Ha C2-D1,Féminin,1,sur le dos,espace vide ?,,,,,,,,,,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,408,inhumation,Ha D1,Hallstatt,Ha D1,Féminin,1,sur le dos,espace vide,,,,,,,,,,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,199,inhumation,Ha C-D,Hallstatt,Ha C-D,Féminin,3,sur le dos,,,,,,,,,,,,
SITE-c266745200008b48,Duttlenheim,Site 1.3 - Ampfad et Neustrasse,413,inhumation,Ha D-LT A,Transition,Ha D3 / LT A,Féminin,3,sur le dos,espace vide,,2,,,,,,,1,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,91,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,8,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,38,inhumation,BF IIIb-Ha C,Transition,TRANSITION_BF_HA,Féminin,5,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,85,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,52,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,0,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,88,inhumation,BF IIIa,Bronze final,BF IIIa,Féminin,16,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,83,inhumation,BF IIIb-Ha C,Transition,TRANSITION_BF_HA,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,55,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,28,inhumation,Ha C,Hallstatt,Ha C,Féminin,4,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,51,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,3,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,36,inhumation,BF IIIb-Ha C,Transition,TRANSITION_BF_HA,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,72,inhumation,BF IIIb-Ha C,Transition,TRANSITION_BF_HA,Féminin,12,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,76,inhumation,Protohistoire indéterminé,indéterminé,Protohistoire indéterminé,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,86,inhumation,BF IIIb-Ha C,Transition,TRANSITION_BF_HA,Féminin,2,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,48,inhumation,Ha D2-LT A,Transition,Ha D3 / LT A,Féminin,1,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,53,inhumation,Ha D2-D3,Hallstatt,Ha D2-D3,Féminin,7,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,27,inhumation,BF IIIb,Bronze final,BF IIIb,Féminin,4,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Ancien échangeur,37,inhumation,Ha C,Hallstatt,Ha C,Féminin,4,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,2,inhumation,BF IIIa,Bronze final,BF IIIa,Féminin,8,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,12/O4B,inhumation,BF IIIb,Bronze final,BF IIIb,Féminin,19,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,11,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,10,inhumation,Ha C,Hallstatt,Ha C,Féminin,2,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Jebsen Boden,3,inhumation,Ha C,Hallstatt,Ha C,Féminin,6,,,,,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Oberes Holzackerfeld,1,inhumation,BF IIIa,Bronze final,BF IIIa,Féminin,7,,,,1,,,,,,,,,
SITE-3d3e5493a9a5f812,Sainte-Croix-en-Plaine,Rue Mermoz,3,inhumation,BF I-IIa,Bronze final,BF I-IIa,Féminin,2,,,,,,,,,,,,,
