site_id,nom_site,commune,pays,type_site,x_l93,y_l93,phase_id,periode,sous_periode,datation_debut,datation_fin,sources_count,source_references
SITE-d1f92d0f055dc602,Breisach am Rhein,Breisach am Rhein,DE,nécropole,1046979.0050810808,6779995.2600577455,SITE-d1f92d0f055dc602-PH1,indéterminé,,,,5,/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250806_ADAB2011_ArkeoGis.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250806_ADAB2011_ArkeoGis.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250806_ADAB2011_ArkeoGis.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250806_ADAB2011_ArkeoGis.csv;/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv
SITE-d1f92d0f055dc602,Breisach am Rhein,Breisach am Rhein,DE,nécropole,1046979.0050810808,6779995.2600577455,SITE-cb1d5e18aee893ab-PH1,Hallstatt,Ha D,,,5,/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250806_ADAB2011_ArkeoGis.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250806_ADAB2011_ArkeoGis.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250806_ADAB2011_ArkeoGis.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250806_ADAB2011_ArkeoGis.csv;/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv
SITE-378ea3620ebed165,Bâle,Basel,FR,oppidum,1044843.398401831,6727313.001643919,SITE-378ea3620ebed165-PH1,La Tène,LT C,,,1,/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv
SITE-b36a6085eb632234,Haguenau,Haguenau,FR,nécropole,1051491.4354361177,6868434.927973071,SITE-b36a6085eb632234-PH1,Hallstatt,Ha C,,,19,/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx
SITE-b36a6085eb632234,Haguenau,Haguenau,FR,nécropole,1051491.4354361177,6868434.927973071,SITE-e45b291459468809-PH1,Hallstatt,,,,19,/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx
SITE-b36a6085eb632234,Haguenau,Haguenau,FR,nécropole,1051491.4354361177,6868434.927973071,SITE-09083c973104cd42-PH1,Hallstatt,Ha D1,,,19,/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx
SITE-b36a6085eb632234,Haguenau,Haguenau,FR,nécropole,1051491.4354361177,6868434.927973071,SITE-6a8e0561e5ae086f-PH1,Hallstatt,Ha D2-D3,,,19,/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx
SITE-b36a6085eb632234,Haguenau,Haguenau,FR,nécropole,1051491.4354361177,6868434.927973071,SITE-e802b51e3d0b6792-PH1,Hallstatt,Ha D2,,,19,/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx
SITE-b36a6085eb632234,Haguenau,Haguenau,FR,nécropole,1051491.4354361177,6868434.927973071,SITE-b6607bcb87da1fdd-PH1,Hallstatt,Ha D,,,19,/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx
SITE-b36a6085eb632234,Haguenau,Haguenau,FR,nécropole,1051491.4354361177,6868434.927973071,SITE-36fc9afae219758a-PH1,Hallstatt,Ha D3,,,19,/Users/I0438973/BaseFerRhin/data/sources/golden_sites.csv;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;/Users/I0438973/BaseFerRhin/RawData/GrosFichiers - Béhague/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx
