site_id,nom_site,commune,pays,type_site,x_l93,y_l93,longitude,latitude,phase_id,periode,sous_periode,datation_debut,datation_fin,sources_count,source_references,occupation_necropole_raw,chronologie_comment,source_file,armement_summary,or_summary,remarques
SITE-6e59b236e4655b97,Lange Stein,Altorf,FR,nécropole,1034400.0,6834330.0,7.530971347459769,48.52284007875944,SITE-11eaa3fd7b9fd2f4-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,crémation sous une stèle ? = Dorlisheim Gaensweidt,,,,
SITE-6e59b236e4655b97,Lange Stein,Altorf,FR,nécropole,1034400.0,6834330.0,7.530971347459769,48.52284007875944,SITE-0cb5b45a284bf74d-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,crémation sous une stèle ? = Dorlisheim Gaensweidt,,,,
SITE-6e59b236e4655b97,Lange Stein,Altorf,FR,nécropole,1034400.0,6834330.0,7.530971347459769,48.52284007875944,SITE-e3a9aec491497ec3-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,crémation sous une stèle ? = Dorlisheim Gaensweidt,,,,
SITE-77109510e70322c4,Benfeld (nécropole),Benfeld,FR,nécropole,1040045.0,6817485.0,7.5940229606684975,48.368617690648094,SITE-850e383289c536fb-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,"bracelets à tampons Hallstatt D1,",,,,
SITE-460abdf3f4545943,Plateforme départementale d'activités de Brumath zone 18-23 phase Ha C2-Ha D3./LTA,Bernolsheim/Mommenheim,FR,nécropole,1043960.0,6860163.0,7.680932864641062,48.749797584772104,SITE-5c45058b034289b3-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Cony, Rault 2022",Ha C - LT A,"s'intègrent dans une zone funéraire plus importante mais peu dense (phase Ha C composé de 3 crémations) en plus des 5 inhumatiojns attesté pour cette phase 6 non datées ou mal datées peuvent également y être associé) 2 enclos circulaires, présence coffrage en bois, trois regroupement de tombes, nombreux mobiliers dont torque, perle en verre, bracelet en roche noire et alliage cuivreux, anneuax de cheville, pendeloques, ceinture abdominales, fibules, épingle, agrafe, trousses de toilettes, couteau | Transition / texte mixte",,,,
SITE-460abdf3f4545943,Plateforme départementale d'activités de Brumath zone 18-23 phase Ha C2-Ha D3./LTA,Bernolsheim/Mommenheim,FR,nécropole,1043960.0,6860163.0,7.680932864641062,48.749797584772104,SITE-b4e14a5174a41c85-PH1,Hallstatt,Ha D3 / LT A,-500.0,-400.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Cony, Rault 2022",Ha C - LT A,"s'intègrent dans une zone funéraire plus importante mais peu dense (phase Ha C composé de 3 crémations) en plus des 5 inhumatiojns attesté pour cette phase 6 non datées ou mal datées peuvent également y être associé) 2 enclos circulaires, présence coffrage en bois, trois regroupement de tombes, nombreux mobiliers dont torque, perle en verre, bracelet en roche noire et alliage cuivreux, anneuax de cheville, pendeloques, ceinture abdominales, fibules, épingle, agrafe, trousses de toilettes, couteau | Transition / texte mixte",,,,
SITE-af23527080e9645f,Plateforme départementale d'activités de Brumath zone 7,Bernolsheim/Mommenheim,FR,tumulus,1043603.0,6860586.0,7.676426354609894,48.75378552739316,SITE-4a6cfa71994acf0f-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Cony, Rault 2022",-,"5 inhumations, présence d'un tertre suspecté au diag. nombreux mobilier métalliques, en ambre, en roche noire : fibules, torque, bracelet, collier de perles, bracelet de cheville. coffrage en bois pour 4 des inhumations.",,,,
SITE-af23527080e9645f,Plateforme départementale d'activités de Brumath zone 7,Bernolsheim/Mommenheim,FR,tumulus,1043603.0,6860586.0,7.676426354609894,48.75378552739316,SITE-981097650a9dae74-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Cony, Rault 2022",-,"5 inhumations, présence d'un tertre suspecté au diag. nombreux mobilier métalliques, en ambre, en roche noire : fibules, torque, bracelet, collier de perles, bracelet de cheville. coffrage en bois pour 4 des inhumations.",,,,
SITE-af23527080e9645f,Plateforme départementale d'activités de Brumath zone 7,Bernolsheim/Mommenheim,FR,tumulus,1043603.0,6860586.0,7.676426354609894,48.75378552739316,SITE-fefe2a616cdd3ccf-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Cony, Rault 2022",-,"5 inhumations, présence d'un tertre suspecté au diag. nombreux mobilier métalliques, en ambre, en roche noire : fibules, torque, bracelet, collier de perles, bracelet de cheville. coffrage en bois pour 4 des inhumations.",,,,
SITE-010e973c5e57984f,Plateforme départementale d'activités de Brumath zone 2,Bernolsheim/Mommenheim,FR,nécropole,1043016.0,6860471.0,7.668363496232342,48.75306524211023,SITE-ac6417a971fc8bf6-PH1,Hallstatt,Ha D1,-620.0,-540.0,3,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Cony, Rault 2022 ; Cony, Mulot et al. à paraitre",-,"4 enclos dont un double. Enclos 2 : 1 inhumation avec deux fer de lance et deux fibule en son centre. enclos 3 4 inhumations (+ 1 probable) et 1 dépôts secondaire de crémation. Enclos 4 deux inhumations. Traces de coffrage. mobilier riche : perle tonnelet en ambre, torque massif, brassards tonnelets, 11 armilles, 2 pendeloques en or, 1 plaque de ceinture",,,,
